Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,7.05,8.05,7.23,5.22,6.49,5.44,5.41,5.31,4.53,4.54,3.25,3.12,2.82,4.59,5.56,2.23,4.94,2.62,3.52,4.29,4.07,-0.84,3.18,1.5,1.42
Depreciation & Amortization,0.82,0.99,1.01,1.04,0.98,0.96,0.96,0.96,0.97,1.12,0.75,0.88,0.95,0.8,0.69,0.65,0.69,0.55,0.53,0.52,0.52,0.51,0.5,0.4,0.21
Share-Based Compensation,0.25,0.23,0.23,0.23,0.33,0.32,0.33,0.35,0.41,0.4,0.39,0.36,0.31,0.35,0.37,0.32,0.12,0.36,0.36,0.31,0.15,0.11,0.13,0.1,0.09
Other Operating Activities,-0.57,6.58,4.47,1.48,-4.95,-1.68,-9.78,1.21,-5.27,-2.22,0.88,-0.5,-7.04,-4.15,-3.41,-0.58,-6.21,0.95,-5.94,-6.85,0.3,7.12,0.04,6.91,-12.04
Operating Cash Flow,7.54,15.86,12.94,7.97,2.85,5.04,-3.08,7.82,0.65,3.84,5.26,3.86,-2.96,1.58,3.22,2.62,-0.46,4.48,-1.53,-1.74,5.03,6.89,3.86,8.91,-10.33
Operating Cash Flow Growth,165.07%,214.73%,-,1.88%,337.17%,31.20%,-,102.83%,-,143.81%,63.73%,46.99%,-,-64.84%,-,-,-,-34.99%,-,-,-,-,-,-,-
Capital Expenditures,-0.15,-0.24,-0.27,-0.17,-0.17,-0.22,-0.39,-0.31,-0.35,-0.12,-1.44,-0.16,-0.84,-0.7,-0.42,4.84,-0.16,-0.38,-0.21,-0.32,-0.11,0,-0.25,-0.09,-0.03
Acquisitions,0,0,0,0,18.42,0,0,0,0,0,0,0,-8.43,41.92,0,-9.34,0,-12.97,0,0,0,1,0.03,83.97,0
Change in Investments,-20.9,-28.44,6.06,-0.45,59.19,-46.99,-49.99,-33,70.46,58.28,33.9,-93.53,-62.06,-73.87,-10.12,31.61,16.71,26.94,3.53,-36.15,6.31,13.26,17.2,-10.44,-11.99
Other Investing Activities,-,-,-,-0.02,0.02,-0,0.14,-,0.28,0.22,-,0.52,-,0.1,-0.01,0.36,-,0.73,0.61,0.78,-,1,-2.75,-0.5,-
Investing Cash Flow,-21.05,-28.68,5.79,-0.64,77.46,-47.2,-50.24,-33.31,70.39,58.39,32.47,-93.17,-71.34,-32.55,-10.54,27.47,16.55,14.32,3.93,-35.7,6.2,15.27,14.23,72.93,-12.02
Dividends Paid,0,-0.66,-1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-8.07,-4.42,-7.83,-4.45,-1.27,-0.09,-0.43,-8.83,-2.2,-7.51,-0.68,-5.46,-4.6,-10.96,0,0,0,0,0,66.76,0,0,-0.02,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,-5,0,-4.97,57.34,-84,98.43,0,0,0,0,0,0,-6,0,-10.47,0.57,0,0
Other Financing Activities,42.29,-29.97,-139.38,-75.57,-31.53,-22.51,29.51,50.27,89.57,-70.25,21.73,108.19,-40.6,0.24,-7.19,-10.97,-7.2,-8.44,-7.45,39.4,-5.53,-4.36,22.7,-6.19,19.19
Financing Cash Flow,34.22,-35.05,-148.57,-80.02,-32.8,-22.61,29.09,36.44,87.37,-82.73,78.38,18.73,53.23,-10.72,-7.19,-10.97,-7.2,-8.44,-7.45,100.16,-5.53,-14.82,23.25,-6.19,19.19
Net Cash Flow,20.72,-47.87,-129.83,-72.69,47.51,-64.77,-24.24,10.95,158.41,-20.51,116.11,-70.59,-21.07,-41.7,-14.52,19.12,8.89,10.36,-5.05,62.72,5.7,7.34,41.34,75.65,-3.15
Free Cash Flow,7.4,15.62,12.67,7.8,2.67,4.82,-3.47,7.52,0.3,3.72,3.83,3.7,-3.81,0.88,2.8,7.46,-0.62,4.1,-1.74,-2.06,4.92,6.89,3.61,8.81,-10.35
Free Cash Flow Growth,176.80%,223.98%,-,3.82%,790.67%,29.49%,-,103.22%,-,323.07%,36.83%,-50.43%,-,-78.56%,-,-,-,-40.44%,-,-,-,-,-,-,-
Free Cash Flow Margin,28.08%,57.09%,48.24%,34.58%,9.99%,22.66%,-16.32%,36.24%,1.48%,19.14%,20.64%,20.72%,-18.21%,4.20%,14.42%,41.20%,-3.72%,26.89%,-12.82%,-14.29%,35.45%,52.80%,27.74%,79.17%,-146.29%
Free Cash Flow Per Share,0.58,1.21,0.95,0.57,0.21,0.45,-0.33,0.69,0.03,0.32,0.32,0.31,-0.31,0.07,0.23,0.66,-0.06,0.38,-0.16,-0.22,0.66,0.95,0.53,1.37,-1.92
