Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-0.69,0.9,-0.69,-0.45,-0.55,-0.03,0.72,-0.17,-0.29,-0.52,-0.23
Depreciation & Amortization,0.26,0.23,0.19,0.17,0.14,0.11,0.15,0.1,0.08,0.09,0.05
Share-Based Compensation,0.03,0.12,0.05,0.05,0.12,0.15,0,0,0,0,0
Other Operating Activities,-3.18,2.85,-3.45,-9.47,7.38,-3.97,-1.21,-1.19,0.24,-1.24,-0.76
Operating Cash Flow,-3.59,4.1,-3.91,-9.71,7.1,-3.73,-0.34,-1.26,0.04,-1.67,-0.94
Operating Cash Flow Growth,-,-,-,-,18257.24%,-,-,-,-,-,-
Capital Expenditures,-0.28,-0.28,-0.16,-0.1,-0.09,-0.07,-0.1,-0.1,-0.12,-0.08,-0.01
Change in Investments,-0.4,-0.04,-9.93,0,0,0,0,0,0,0,0
Other Investing Activities,-,-0.51,-,-,-0.54,-,-,-,-,-,-
Investing Cash Flow,-0.68,-0.83,-10.09,-0.1,-0.63,-0.07,-0.1,-0.1,-0.12,-0.08,-0.01
Share Issuance / Repurchase,0,-0.15,-1.19,-1.99,1.31,39.6,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,-3.65,0.7,1.15,0,1.65,0
Other Financing Activities,-0.38,-0.17,-0.72,-,-,-0.71,0.3,-0.08,-0.05,-0.01,0.07
Financing Cash Flow,-0.38,-0.32,-1.91,-1.99,1.31,35.24,1,1.07,-0.05,1.64,0.07
Net Cash Flow,-4.66,2.96,-15.91,-11.8,7.78,31.43,0.56,-0.28,-0.13,-0.11,-0.88
Free Cash Flow,-3.88,3.83,-4.07,-9.81,7.01,-3.81,-0.44,-1.35,-0.08,-1.75,-0.95
Free Cash Flow Margin,-24.58%,20.89%,-29.96%,-66.25%,57.19%,-30.15%,-4.00%,-15.74%,-1.12%,-18.85%,-11.35%
Free Cash Flow Per Share,-0.21,0.22,-0.21,-0.49,0.35,-0.35,-0.04,-0.14,-0.01,-0.17,-
