Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,301.42,275.46,164.78,78.1,255.74,580.48,786.16,711.54,509.68,344.7,419.04,-678.43,517.92,724.37,627.96,424.3,688.42,447.23,663.8,177.86,20.71,9.69,-1.48,5.3,-29.18
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.11,-,-,-,1.87
Share-Based Compensation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.2,-,-,-,10.03
Other Operating Activities,-301.42,-275.46,-164.78,-78.1,-255.74,-580.48,-786.16,-711.54,-509.68,-344.7,-419.04,678.43,-517.92,-724.37,-627.96,-424.3,-688.42,-447.23,-663.8,-177.86,544.08,-68.18,-15.48,-56.26,403.01
Operating Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,668.83,-,-,-,402
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.38%,-,-,-,-
Capital Expenditures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.73,-,-,-,-13.47
Change in Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,128.9",-,-,-,"-1,735.25"
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308.5,-,-,-,263.07
Investing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-826.12,-,-,-,"-1,485.64"
Share Issuance / Repurchase,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,651.25,-,-,-,0
Debt Issued / Paid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565.3,-,-,-,831.58
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.23,-,-,-,-
Financing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,216.32",-,-,-,831.58
Net Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,057.71",-,-,-,-248.24
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,663.1,-,-,-,388.53
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70.67%,-,-,-,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.61%,-,-,-,27.95%
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.82,-,-,-,7.02
