Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.05,0.08,-0.2,-1.28,-0.34,-0.01,0
Other Operating Activities,-0.21,-0.27,-0.02,0.92,-0.27,0.02,-
Operating Cash Flow,-0.26,-0.19,-0.22,-0.36,-0.62,0.01,0
Change in Investments,0.03,0,0,0,-116.73,0,0
Investing Cash Flow,0.03,0,0,0,-116.73,0,0
Share Issuance / Repurchase,0,0,0,0,115.03,0,-0.03
Debt Issued / Paid,0,0,0,0,-0.31,0.08,0.18
Other Financing Activities,-,-,-,-,3.88,-0.08,-0.13
Financing Cash Flow,0,0,0,0,118.59,-0,0.02
Net Cash Flow,-0.22,0.09,-0.22,-0.36,1.25,0.01,0.02
Free Cash Flow,-0.26,-0.19,-0.22,-0.36,-0.62,0.01,0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.13,0.01,-
