Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,175.99,143.81,190.99,204.74,164.63,153.53,137.21,130.81,125.13,91.18,138.02
Share-Based Compensation,2.18,2.48,2.36,2.33,2.72,1.28,0.22,0,0,0,0
Other Operating Activities,-58.83,12.15,-93.02,-66.12,-6.52,6.22,10.55,5.27,1.9,52.62,77.39
Operating Cash Flow,119.34,158.44,100.33,140.95,160.83,161.03,147.98,136.08,127.03,143.8,215.41
Operating Cash Flow Growth,-25.80%,-1.61%,-32.20%,3.58%,26.61%,11.98%,-31.30%,-,-,-,-
Change in Investments,36.07,26.27,-125.7,25.67,-146.5,13.51,-131.72,-132.09,-148.49,-244.94,-380.35
Other Investing Activities,-2.6,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,33.46,26.27,-125.7,25.67,-146.5,13.51,-131.72,-132.09,-148.49,-244.94,-380.35
Dividends Paid,-22.76,-205.18,-22.8,-22.8,0,-200.29,0,0,0,-1.7,-435.65
Share Issuance / Repurchase,-22.2,-1.53,0,0,0,0,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,-1.1,738.75
Financing Cash Flow,-44.96,-206.71,-22.8,-22.8,0,-200.29,0,0,0,-2.8,303.1
Net Cash Flow,107.85,-22,-48.17,143.79,14.33,-25.75,16.26,3.99,-21.46,-103.94,138.15
Free Cash Flow,119.34,158.44,100.33,140.95,160.83,161.03,147.98,136.08,127.03,143.8,215.41
Free Cash Flow Growth,-25.80%,-1.61%,-32.20%,3.58%,26.61%,11.98%,-31.30%,-,-,-,-
Free Cash Flow Margin,42.48%,57.23%,36.47%,51.53%,59.66%,59.02%,52.79%,49.28%,44.02%,50.37%,75.76%
Free Cash Flow Per Share,0.73,0.97,0.62,0.87,0.99,0.99,0.91,0.84,0.78,0.88,1.32
