Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-28,2013-09-30
Net Income,10.21,16.76,15.43,43.39,23.53,25.84,23.63,27.18,33.12,31.33,22.01,13.44,-4.45,16.71,14.32,12.73,14.79,18.09,8.98,12.19,11.88,6.11,9.59,9.47,10.28,6.06,4.51,4.43,4.81,4.31,5.73,4.46,13.85,2.02,9.5,2.29,3.15,11.32,0.24
Depreciation & Amortization,5.93,6.16,6.85,6.16,6.06,6.24,6.36,5.41,4.9,5.41,4.93,4.4,4.31,4.27,4.23,4.4,4.36,4.28,3.51,2.58,2.33,3.42,1.84,1.88,2.07,2.04,1.7,1.31,1.55,1.68,1.72,1.44,1.29,1.27,1.22,1.2,1.19,1,-
Share-Based Compensation,2.88,4.05,4.3,7.88,4.95,11.13,4.45,3.39,1.35,1.18,1.31,0.97,1.17,0.86,1.06,0.83,0.91,0.77,0.91,0.57,0.49,0.32,0.46,0.32,0.7,0.5,0.59,0.93,0.35,0.68,0.85,0.85,0.7,2.08,0.42,0.08,0.11,0.04,-
Other Operating Activities,-18.8,-16.76,21.98,-95.23,15.79,3.67,-3.47,-0.93,-18.52,-1.71,10.63,-12.35,13.07,-5.88,3.06,-4.9,0.71,-2.4,9.53,5,-5.44,4.24,0.47,4.97,-9.63,0.6,1.4,-0.12,-0.56,-2.54,-0.73,1.95,-11.71,0.32,0.06,1.06,-7.05,-21.16,-0.35
Operating Cash Flow,1.03,11.01,49.35,-37,51.13,47.69,31.77,35.85,21.66,37,39.77,6.46,14.1,15.96,22.66,13.06,20.77,20.73,23.12,20.53,9.45,14.28,12.55,16.83,3.61,9.41,8.49,6.74,6.35,4.32,7.76,8.89,4.32,5.88,11.39,4.82,-2.4,-9.26,-
Operating Cash Flow Growth,-97.99%,-76.92%,55.35%,-,136.08%,28.89%,-20.12%,454.75%,53.64%,131.77%,75.51%,-50.51%,-32.13%,-23.00%,-1.99%,-36.39%,119.77%,45.16%,84.30%,21.96%,161.48%,51.81%,47.76%,149.75%,-43.05%,117.55%,9.39%,-24.18%,46.83%,-26.43%,-31.84%,84.42%,-,-,-,-,-,-,-
Capital Expenditures,-15.38,-2.39,-2.91,-3.03,-2.58,-4.46,-0.68,-4.31,-4.91,-1.29,-0.51,-11.72,-4.05,-11.6,-4.12,-2.12,-3.5,-2.3,-8.07,-7.23,-1.18,-6.56,-0.69,-0.29,-0.41,-1.32,-2.22,-0.29,-0.49,-0.96,-0.67,-0.5,-0.31,-0.73,-1.51,-0.6,0.09,-0.98,-
Acquisitions,0,0,19.01,66.92,0,0,0,-96.93,0,0,-108.38,93.84,0,0,0,0,0,0,18.31,-160.18,73.85,45.32,0,0,10.27,0,-14.48,0,0,0,0,-2.6,-124.99,0,57.41,-49.48,0,74.71,-
Change in Investments,-266.57,286.55,-30.03,443.37,-102.95,-88.92,81.16,257.67,-64.5,-104.56,-246.78,-115.49,-277.9,74.37,-353.91,-211.22,-11.04,-69.21,63.73,-181.71,-7.42,-129.04,-104.53,-218.25,19.23,-59.41,-61.63,-157.94,20.9,-125.93,-46.31,-124.29,33.54,-22.67,-41.21,-81.23,12.52,-18.05,-
Other Investing Activities,-3.04,-,0.15,0.28,0.01,2.72,0.4,0.2,0.21,0.19,0.49,1.22,0.21,0.25,0.92,1.6,-,0.77,0.7,11.63,-,3.47,0.12,0.91,0.68,1.61,1.18,0.47,0.06,0.89,0.06,0.97,1.96,1.53,1.07,2.49,0.23,2.51,-
