Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,3.38,0.47,1.02,-0.16,-1.13,-0.84,-0.49,0,0
Other Operating Activities,-3.47,-1.46,-1.25,-0.21,0.1,0.38,-1.2,-,-
Operating Cash Flow,-0.09,-0.99,-0.23,-0.37,-1.03,-0.46,-1.69,0,0
Change in Investments,0.11,0.95,0,0,0,0,0,0,0
Investing Cash Flow,0.11,0.95,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,338.1,0,0
Debt Issued / Paid,0,0,0.3,0,1,0,1.84,0,0.03
Other Financing Activities,-,-,-,-,-,-,7.62,-,-
Financing Cash Flow,0,0,0.3,0,1,0,347.55,0,0.03
Net Cash Flow,0.02,-0.04,0.11,-0.37,-0.03,-0.46,0.86,0,0.03
Free Cash Flow,-0.09,-0.99,-0.23,-0.37,-1.03,-0.46,-1.69,0,0
Free Cash Flow Per Share,-0.00,-0.02,-0.01,-0.01,-0.02,-0.02,-0.04,-,-
