Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,1.78,1.95,1.06,6.33,4.82,1.6,-3.56,9.03,-0
Other Operating Activities,-2.59,-2.19,-1.12,-6.74,-4.96,-1.6,3.5,-10.01,0
Operating Cash Flow,-0.82,-0.23,-0.06,-0.4,-0.14,0,-0.06,-0.98,0
Change in Investments,259.67,0,0,0,0,0,0,-276,0
Investing Cash Flow,259.67,0,0,0,0,0,0,-276,0
Share Issuance / Repurchase,-258.68,0,0,0,0,0,0,271.86,0.03
Debt Issued / Paid,-0.17,0.23,0.06,0.4,0.14,0,0,-0.16,0.13
Other Financing Activities,-,-,-,-,-,-,-,5.36,-0.11
Financing Cash Flow,-258.85,0.23,0.06,0.4,0.14,0,0,277.07,0.04
Net Cash Flow,0,0,0,0,0,0,-0.06,0.09,0.04
Free Cash Flow,-0.82,-0.23,-0.06,-0.4,-0.14,0,-0.06,-0.98,0
Free Cash Flow Per Share,-0.02,-0.01,-0.00,-0.01,-0.00,-,-0.00,-0.04,-
