Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,3.34,7.58,3.99,6.5,-2.02,0
Other Operating Activities,-3.84,-7.67,-4.16,-6.85,0.12,-0.18
Operating Cash Flow,-0.49,-0.09,-0.17,-0.35,-1.91,-0.18
Change in Investments,0.41,0,0.62,0,-525,0
Investing Cash Flow,0.41,0,0.62,0,-525,0
Share Issuance / Repurchase,0,0,0,0,537.5,0
Debt Issued / Paid,0,0,0,0,0.3,0
Other Financing Activities,-,-,-,-,-10.68,-
Financing Cash Flow,0,0,0,0,527.12,0
Net Cash Flow,-0.08,-0.09,0.46,-0.35,0.21,-0.18
Free Cash Flow,-0.49,-0.09,-0.17,-0.35,-1.91,-0.18
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.03,-0.03
