Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,-10.34,-10.18,8.16,5.94,17.06,-4.28,13.8,-14.05,20.38,0,-0,0.1
Other Operating Activities,9.79,10.07,-8.3,-6.65,-18.32,4.14,-13.9,13.93,-21.42,-,0,-0.1
Operating Cash Flow,-0.55,-0.11,-0.14,-0.71,-1.26,-0.14,-0.1,-0.12,-1.04,0,0,0
Change in Investments,536.67,0,0,0,0,0,0,0,"-1,000",0,0,0
Investing Cash Flow,536.67,0,0,0,0,0,0,0,"-1,000",0,0,0
Share Issuance / Repurchase,-538.99,0,0,0,0,0,0,0,"1,000",0,0,0
Debt Issued / Paid,2.91,0,0,0.5,1,0,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-0.03,-0.03,-0.02,2.23,-,-,-
Financing Cash Flow,-536.07,0,0,0.5,1,-0.03,-0.03,-0.02,"1,002.23",0,0,0
Net Cash Flow,0.05,-0.11,-0.14,-0.21,-0.26,-0.17,-0.13,-0.14,1.19,0,0,0
Free Cash Flow,-0.55,-0.11,-0.14,-0.71,-1.26,-0.14,-0.1,-0.12,-1.04,0,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-,-,-
