Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-22.95,-41.93,-264.06,4.12,-13.97,-148.23,-11.32,5.24,2.66,-,-0,-1.15,0.45
Depreciation & Amortization,8.52,8.68,8.57,9.69,22.45,22.85,20.54,0.86,0.84,-,0,0.85,0.83
Share-Based Compensation,3.56,3.71,5.49,4.79,3.86,4.83,24.82,0.01,0.01,-,0,0.02,0.08
Other Operating Activities,54.83,11.04,260.86,-15.47,-33.46,149.92,-81.96,0.49,6.99,-,0,-8.15,-3.15
Operating Cash Flow,43.96,-18.5,10.86,3.13,-21.13,29.36,-47.92,6.61,10.5,-,0,-8.43,-1.79
Operating Cash Flow Growth,-,-,-,-52.62%,-,-,-,-,-,-,-,-,-
Capital Expenditures,-1.03,-0.4,-0.65,-0.62,-0.65,-2.57,-0.87,-0.36,-0.71,-,0,-0.75,-0.87
Acquisitions,0,0,0,0,0,0,-304.57,0,0,-,0,0,0
Change in Investments,-1.92,-1.09,-0.43,-0.71,-0.14,-0.1,0.1,0.09,-0.42,-,0,-0.22,-0.65
Investing Cash Flow,-2.95,-1.49,-1.08,-1.33,-0.79,-2.67,-305.34,-0.27,-1.13,-,0,-0.97,-1.51
Share Issuance / Repurchase,0,0,-8.45,-2,0,0,230.38,0,0,-,0,0,0
Debt Issued / Paid,-12.92,0,0,0,0,0,0,5.5,0,-,0,2.81,-3.65
Other Financing Activities,-0.01,-0.02,-0.03,-1.23,-0.06,-7.83,-18.59,-0.77,-6.76,-,-,-,-1.99
Financing Cash Flow,-12.93,-0.02,-8.48,-3.23,-0.06,-7.83,211.79,4.73,-6.76,-,0,2.81,-5.63
Net Cash Flow,28.08,-20.01,1.3,-1.44,-21.97,18.86,-141.47,11.07,2.61,-,0,-6.59,-8.93
Free Cash Flow,42.94,-18.91,10.21,2.51,-21.78,26.79,-48.79,6.25,9.79,-,0,-9.18,-2.65
Free Cash Flow Growth,-,-,-,-59.83%,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,209.80%,-254.78%,30.69%,8.48%,-77.13%,76.21%,-183.98%,23.85%,39.50%,-,-,-90.02%,-20.27%
Free Cash Flow Per Share,0.50,-0.23,0.12,0.03,-0.26,0.32,-0.57,0.05,0.23,-,-,-,-
