Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,905,509,319,835,699,822,881,991,858,702,876,901,944,"1,391","1,002",969,910,832,"1,075","1,055","1,135","1,126",983,926,880,822,974,825,804,637,820,830,766,209,"1,070",554,661,513,962,831,Upgrade
Depreciation & Amortization,351,381,396,422,437,461,468,472,466,455,431,390,354,344,336,333,302,328,334,342,335,430,351,346,347,384,370,384,364,373,376,368,340,316,330,313,333,338,345,373,Upgrade
Other Operating Activities,465,"2,000","2,941","3,699","2,219","1,805","-1,361","1,335","-4,567","-2,070",-590,"5,470","-3,019","-4,255","3,707","-2,915","-2,197","1,975",-201,975,"-2,358",-314,"3,843","-1,933","-2,493","3,456","-1,262","-1,589",613,-924,142,"1,484","-1,190",637,-500,"2,550","-2,062","-1,464",-416,569,Upgrade
Operating Cash Flow,"1,792","2,924","3,725","4,990","3,429","3,129",54,"2,829","-3,174",-865,778,"6,810","-1,685","-2,471","5,081","-1,565",-949,"3,184","1,244","2,420",-852,"1,291","5,212",-612,"-1,224","4,710",95,-332,"1,794",142,"1,351","2,705",-71,"1,186",913,"3,440","-1,055",-587,904,"1,785",Upgrade
Operating Cash Flow Growth,-47.74%,-6.55%,6798.15%,76.39%,-,-,-93.06%,-58.46%,-,-,-84.69%,-,-,-,308.44%,-,-,146.63%,-76.13%,-,-,-72.59%,5386.32%,-,-,3216.90%,-92.97%,-,-,-88.03%,47.97%,-21.37%,-,-,1.00%,92.72%,-,-,0.56%,586.54%,Upgrade
Capital Expenditures,-261,-357,-118,-600,-226,-374,-369,-218,-220,-266,-333,-359,-264,-98,-395,-453,-264,-289,-291,-332,-173,-264,-211,-436,-286,-330,-81,-201,-148,-190,-112,-137,-162,-196,370,-179,-201,-237,-114,-132,Upgrade
Acquisitions,0,395,51,0,0,-170,0,0,8,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,-4,1,-38,0,0,17,0,-9,-3,0,40,-1,-2,72,-1,Upgrade
Change in Investments,"-18,414","24,466","20,652","9,774","-33,036","19,633","-3,369",-256,"3,937","-33,578","14,921","20,140","-77,988","-5,308","6,903","-32,254","20,645","-14,439","2,898","16,834",-840,"-18,651",593,"-10,238","-2,981","29,782","-4,164","5,512","20,416","-21,625","17,034","-7,059","-11,127","-2,161","11,755","-33,665","7,679","-4,091","-8,949","-6,896",Upgrade
Other Investing Activities,923,620,"-1,240",132,-639,842,-420,-305,953,-311,-142,74,-349,88,-352,511,429,10,196,142,-501,-289,-215,-217,490,-222,-394,343,-188,"2,276",863,-909,"1,353","1,344","3,534",85,-76,-333,"1,086",-864,Upgrade
Investing Cash Flow,"-17,752","25,124","19,345","9,306","-33,901","19,931","-4,158",-779,"4,678","-34,155","14,446","19,855","-78,601","-5,318","6,156","-32,196","20,810","-14,718","2,803","16,644","-1,430","-19,204",167,"-10,891","-2,777","29,226","-4,638","5,616","20,080","-19,539","17,802","-8,105","-9,945","-1,016","15,659","-33,719","7,401","-4,663","-7,905","-7,893",Upgrade
Dividends Paid,-304,-305,-303,-279,-278,-280,-296,-273,-277,-279,-278,-278,-282,-286,-294,-270,-270,-278,-283,-245,-246,-248,-253,-199,-201,-202,-206,-184,-186,-186,-191,-191,-192,-194,-196,-197,-173,-175,-175,-177,Upgrade
