Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.33,0.9,0.14,-0.15,-0.27,-0,0,0
Other Operating Activities,-0.79,-1.13,-0.25,-0.06,-0.47,0,-,-0
Operating Cash Flow,-0.46,-0.23,-0.1,-0.21,-0.74,-0,0,-0
Share Issuance / Repurchase,-293.51,0,0,0,303.1,0,0,0.03
Debt Issued / Paid,0,0.2,0,0,-0.19,0.17,0,-0.02
Other Financing Activities,-,-,-,-,-0.29,-0.17,-,-
Financing Cash Flow,-293.51,0.2,0,0,302.62,0,0,0
Net Cash Flow,0.53,-0.03,-0.1,-0.21,0.38,0,0,0
Free Cash Flow,-0.46,-0.23,-0.1,-0.21,-0.74,-0,0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.04,-,-,-
