Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-1.02,0.41,0.54,0.42,0.39,0.29,-0.2,0.19,0.24,-0.03,0.21,0.31,0.26
Depreciation & Amortization,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
Share-Based Compensation,0.15,0.11,0.07,0.06,0.05,0.2,0,0,0,0,0,0,0
Other Operating Activities,1.22,-0.05,0.23,0.34,0.12,-3.6,3.34,0.32,0.55,-0.08,0.22,0.48,0.11
Operating Cash Flow,0.46,0.58,0.95,0.93,0.67,-3.01,3.25,0.62,0.9,-0.01,0.53,0.9,0.48
Operating Cash Flow Growth,-31.35%,-,-70.87%,50.00%,-24.80%,-,507.97%,-31.26%,85.62%,-,-,-,-
Capital Expenditures,-1.04,-0.03,-0.14,-0.01,-0.2,0,-0.01,-0.07,-0.06,-0.06,-0.02,-0.68,-0.05
Change in Investments,-2.68,-41.85,-12.71,-14.45,-3.05,-19.48,-19.86,-7.17,-6.16,-1.46,-13.19,-16.46,2.01
Other Investing Activities,-,-,0.24,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-3.71,-41.88,-12.61,-14.46,-3.24,-19.48,-19.87,-7.24,-6.21,-1.52,-13.21,-17.14,1.95
Dividends Paid,-0.07,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,-0.1,31,0,0,0,0,0,0
Debt Issued / Paid,-0.16,27.48,8.48,-0.52,-0.52,-0.51,-1.56,-0.56,-0.56,-5.56,5.43,-4.67,4.42
Other Financing Activities,1.4,13.88,-6.38,6.91,6.74,10.46,-23.88,33.59,17.02,6.21,7.32,19.86,-2.47
Financing Cash Flow,1.17,41.36,2.1,6.39,6.23,9.84,5.56,33.03,16.46,0.66,12.75,15.18,1.95
Net Cash Flow,-2.08,0.06,-9.56,-7.14,3.66,-12.64,-11.06,26.41,11.14,-0.86,0.08,-1.05,4.38
Free Cash Flow,-0.57,0.55,0.81,0.92,0.48,-3.01,3.24,0.55,0.84,-0.06,0.52,0.22,0.43
Free Cash Flow Growth,-,-,-74.95%,65.94%,-43.13%,-,526.71%,146.33%,95.84%,-,-,-,-
Free Cash Flow Margin,-43.00%,17.59%,25.34%,31.61%,17.49%,-112.84%,127.69%,22.38%,34.59%,-2.85%,21.26%,9.37%,18.33%
Free Cash Flow Per Share,-0.19,0.18,0.27,0.30,0.16,-1.00,1.08,0.17,0.26,-0.02,-,-,-
