Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.16,0.12,0.43,2.11,-0.48,-1.99,-0.05
Other Operating Activities,-0.1,-0.2,-0.59,-2.33,0.36,1.19,0.05
Operating Cash Flow,-0.26,-0.08,-0.16,-0.22,-0.12,-0.8,-0
Change in Investments,-0.13,0.13,0,0,0,-168.52,0
Other Investing Activities,0.83,-0.1,0.08,0.02,-,-,-
Investing Cash Flow,0.71,0.03,0.08,0.02,0,-168.52,0
Share Issuance / Repurchase,0,0,0,0,0,174.14,0
Debt Issued / Paid,0,0,0,0,0,-0.1,0.05
Other Financing Activities,-,-0.07,-,-,-,-3.9,-0.05
Financing Cash Flow,0,-0.07,0,0,0,170.14,0
Net Cash Flow,0.45,-0.12,-0.08,-0.2,-0.12,0.82,0
Free Cash Flow,-0.26,-0.08,-0.16,-0.22,-0.12,-0.8,-0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.01,-0.04,-
