Metrics,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30
Net Income,14.28,10.66,-2.4,8.49,0.69,5.15
Depreciation & Amortization,0,4.1,-,0,5.6,-
Share-Based Compensation,0,2.29,-,0,0.52,-
Other Operating Activities,91.65,57.22,2.4,29.57,30.6,-9.96
Operating Cash Flow,107.21,84.03,-,45.88,38.04,-
Operating Cash Flow Growth,181.82%,-,-,-,-,-
Capital Expenditures,-0.61,-1.49,-,-0.43,-0.21,-
Acquisitions,0,0,-,0,8.19,-
Change in Investments,-196.8,-60.34,-,-60.84,-28.45,-
Other Investing Activities,3.98,-3.27,-,5.67,-1.81,-
Investing Cash Flow,-193.43,-65.1,-,-55.6,-22.29,-
Share Issuance / Repurchase,66.26,0,-,0,0,-
Other Financing Activities,0.19,-,-,0.19,-,-
Financing Cash Flow,66.46,0,-,0.19,0,-
Net Cash Flow,-19.76,18.93,-,-9.53,15.75,-
Free Cash Flow,106.59,82.53,-,45.45,37.83,-
Free Cash Flow Growth,181.78%,-,-,-,-,-
Free Cash Flow Margin,56.12%,44.05%,-,29.77%,25.69%,-
Free Cash Flow Per Share,3.25,4.89,-,2.77,2.31,-
