Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-1.23,-0.82,-0.66,-0.53,-0.28,-0
Other Operating Activities,0.56,0.67,0.34,0.28,-0.32,-
Operating Cash Flow,-0.68,-0.15,-0.32,-0.25,-0.6,-0
Share Issuance / Repurchase,-110.47,0,0,0,118.62,0
Debt Issued / Paid,1.09,0,0,0,-0.53,0.05
Other Financing Activities,-,-,-,-,-0,-0.12
Financing Cash Flow,-109.38,0,0,0,118.08,-0.07
Net Cash Flow,0.06,-0.15,-0.32,-0.25,0.75,-0.07
Free Cash Flow,-0.68,-0.15,-0.32,-0.25,-0.6,-0
Free Cash Flow Per Share,-0.05,-0.01,-0.02,-0.02,-0.15,-
