Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Net Income,-133.76,-36.77,-94.13,-44.42,11.86,19.29,71.22,-73.21,148.97,184.47,264.06,169.02,-10.55,16.07
Depreciation & Amortization,4.26,2.79,2.6,2.63,2.69,2.58,2.44,2.35,2.76,1.65,1.31,1.58,1.38,1.52
Share-Based Compensation,0.82,1.11,0.95,1.41,1.71,1.73,1.68,1.75,1.78,0.33,0.14,0.25,0.15,0.22
Other Operating Activities,267.87,208.31,"1,018.63",695.37,"1,879.77","1,277.72","-1,348.6",-408.54,"-2,060.06","-1,136.59",-474.11,-145.14,-193.19,-248.89
Operating Cash Flow,139.2,175.44,928.05,654.99,"1,896.03","1,301.32","-1,273.25",-477.66,"-1,906.56",-950.14,-208.6,25.72,-202.21,-231.08
Operating Cash Flow Growth,-92.66%,-86.52%,-,-,-,-,-,-,-,-,-,-,-,-
Capital Expenditures,-0.48,-1.18,2.08,0.71,-2.17,-1.52,-2.04,-2.67,-4.08,-4.48,-4.21,-3.31,-2.4,-2.06
Acquisitions,0,2.42,0,0,0,0,0,0,0,0,0,0,0,-3.15
Change in Investments,0,160.15,5.37,238.59,390.53,150.36,111.61,0,0,0,0,0,0,0
Other Investing Activities,-,-1.71,-5.2,-9.25,-8.59,-10.03,-14.33,-13.88,-4.82,-,-,-,-,-
Investing Cash Flow,-0.48,159.68,2.25,230.05,379.77,138.81,95.25,-16.56,-8.9,-4.48,-4.21,-3.31,-2.4,-5.21
Dividends Paid,0,-0.02,0.02,-5.55,-5.58,-5.57,-20.92,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0.06,0,-2.26,-1.51,-2.64,0,0,0,0,0,0,0,0
Debt Issued / Paid,-136.98,-374.36,-944.75,-912.62,"-2,278.89","-1,443.99","1,149.29",501.55,"2,275.63",992.62,349.97,65.78,147.15,230.18
Other Financing Activities,-0.04,-0.63,-0.05,0.56,0.12,16.74,-0.11,-15.61,-295.93,-154.49,0,-,63.77,-
Financing Cash Flow,-137.03,-374.95,-944.79,-919.87,"-2,285.86","-1,435.46","1,128.26",485.94,"1,979.71",838.13,349.97,65.78,210.93,230.18
Net Cash Flow,1.69,-39.83,-14.49,-34.82,-10.06,4.66,-49.75,-8.27,64.26,-116.5,137.16,88.18,6.32,-6.11
Free Cash Flow,138.72,174.26,930.13,655.7,"1,893.86","1,299.79","-1,275.29",-480.33,"-1,910.63",-954.62,-212.81,22.41,-204.61,-233.14
Free Cash Flow Growth,-92.68%,-86.59%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-,909.93%,11183.50%,936.61%,1197.35%,719.82%,-464.41%,-569.30%,-452.79%,-210.32%,-41.66%,6.49%,-302.54%,-241.04%
Free Cash Flow Per Share,1.00,1.26,6.72,4.74,13.60,9.32,-9.14,-3.45,-13.76,-6.88,-1.53,0.16,-1.47,-1.68
