Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.8,-0.82,-0.21,-0.57,-0.07,-0
Other Operating Activities,0.58,0.46,0.1,0.27,-0.19,-
Operating Cash Flow,-0.21,-0.35,-0.11,-0.3,-0.26,-0
Change in Investments,-0.47,-0.77,0,-2.28,-75,0
Investing Cash Flow,-0.47,-0.77,0,-2.28,-75,0
Share Issuance / Repurchase,0,0,0,2.32,77,0
Debt Issued / Paid,0.77,0.77,0,0,-0.03,0.03
Other Financing Activities,-0,-,-,-0.05,-0.54,-
Financing Cash Flow,0.77,0.77,0,2.28,76.44,0.03
Net Cash Flow,0.09,-0.35,-0.11,-0.3,1.18,0.03
Free Cash Flow,-0.21,-0.35,-0.11,-0.3,-0.26,-0
Free Cash Flow Per Share,-0.09,-0.16,-0.05,-0.15,-0.15,-
