Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.75,0.41,0.07,-0.09,-0.15,0,-0
Other Operating Activities,-0.99,-0.54,-0.09,-0.72,0.15,0,-
Operating Cash Flow,-0.24,-0.12,-0.03,-0.82,0,0,-0
Change in Investments,0.19,0.14,0,-15.15,-151.5,0,0
Investing Cash Flow,0.19,0.14,0,-15.15,-151.5,0,0
Share Issuance / Repurchase,0,0,0,15.15,153.3,0,0.03
Debt Issued / Paid,0,0,0,-0.19,0,0,0.05
Other Financing Activities,-,-,-,-,-,-,-0.03
Financing Cash Flow,0,0,0,14.96,153.3,0,0.05
Net Cash Flow,-0.05,0.01,-0.03,-1.01,1.8,0,0.04
Free Cash Flow,-0.24,-0.12,-0.03,-0.82,0,0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.04,-,-,-
