Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,17.31,18.76,4.29,14.59,14.54,16.63,0.25,12.34,16.63,-1.85,-15.69,12.01,11.78,10.88,7.45,6.7,-14.41,4.13,1.57,6.93,5.59
Depreciation & Amortization,0,4.12,0,0,0,3.54,0,0,0,1.34,0,0,0,0.22,0,0,0,0.21,0,0,0
Share-Based Compensation,0,11.62,0,0,0,5.58,0,0,0,2.17,0,0,0,24.1,0,0,0,0,0,0,0
Other Operating Activities,0.12,40.54,7.46,20.41,34.65,25.02,43.85,-6.35,-29.68,11.67,35.36,-9.32,10.03,-26.35,11.31,7.74,16.87,2.66,-0.94,-0.16,2.82
Operating Cash Flow,17.44,75.04,11.75,35,49.19,50.78,44.1,5.99,-13.05,13.32,19.67,2.7,21.8,8.85,18.77,14.44,2.46,7,0.63,6.77,8.41
Operating Cash Flow Growth,-64.55%,47.76%,-73.37%,484.57%,-,281.18%,124.17%,122.15%,-,50.51%,4.82%,-81.33%,787.42%,26.55%,2878.73%,113.14%,-70.78%,-,-,-,-
Capital Expenditures,-1.66,-1.49,-1.42,-3.02,-1.4,-1.22,-1.33,-2.3,0,-3.99,-0.02,-0.04,-0.02,-2.85,-0.03,-0.02,-0.03,-0.02,-0.04,-0.02,-0.25
Change in Investments,-32.24,-32.95,-18.5,-44.85,-53.61,-42.66,-27.67,13.68,1.83,16.8,-114.55,-10.15,-63.83,6.35,-13.91,-77.57,3.66,-6.59,-1.51,-5.88,-11.31
Other Investing Activities,-,-0.95,-0,0,-0.02,1.5,-,-,-0.01,-6.84,-1.73,2,-3.03,4.1,-2.8,-0.28,-,-,-,-,0.25
Investing Cash Flow,-33.9,-35.39,-19.93,-47.87,-55.02,-42.38,-29,11.38,1.82,5.97,-116.29,-8.18,-66.87,7.6,-16.73,-77.87,3.63,-6.61,-1.55,-5.9,-11.31
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.12,0,0,0,0
Share Issuance / Repurchase,-6.34,-11.03,-2.18,-5.56,-12.6,0.34,0.92,-15.59,1.3,0.3,0.88,91.27,35.88,-0,-0.01,87.42,0,0,0,0,0
Debt Issued / Paid,35,10,3.4,8,15,0,0,0,0,0,0,0,0,0,0,-20,0,0,1.55,0,0
Financing Cash Flow,28.66,-1.03,1.22,2.44,2.4,0.34,0.92,-15.59,1.3,0.3,0.88,91.27,35.88,-0,-0.01,67.42,-5.12,0,1.55,0,0
Net Cash Flow,12.2,38.62,-6.96,-10.43,-3.43,8.74,16.02,1.77,-9.94,19.59,-95.75,85.78,-9.19,16.45,2.02,3.99,0.97,0.39,0.63,0.87,-2.9
Free Cash Flow,15.78,73.55,10.32,31.98,47.79,49.56,42.77,3.68,-13.05,9.33,19.65,2.66,21.78,6,18.74,14.42,2.43,6.98,0.59,6.75,8.16
Free Cash Flow Growth,-66.99%,48.40%,-75.86%,768.11%,-,431.02%,117.66%,38.70%,-,55.60%,4.87%,-81.58%,796.30%,-14.06%,3097.61%,113.61%,-70.22%,-,-,-,-
Free Cash Flow Margin,17.69%,82.99%,12.79%,40.15%,61.19%,67.73%,63.21%,6.38%,-26.51%,22.07%,43.67%,6.16%,57.29%,17.32%,61.51%,55.66%,10.89%,44.62%,3.10%,33.93%,44.06%
Free Cash Flow Per Share,0.63,2.92,0.41,1.27,1.88,1.95,1.69,0.14,-0.51,0.37,0.77,0.11,0.90,0.26,0.80,0.66,0.14,0.41,0.03,0.40,0.48
