Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,3.21,5.34,5.83,5.33,5.86,6.54,7.06,0.22,2.06,1.52,1.55,1.41
Depreciation & Amortization,0.45,0.44,0.44,0.44,0.44,0.42,0.58,0.19,0.36,0.35,0.35,0.34
Share-Based Compensation,0.79,0.44,0.44,0.56,0.46,0.22,0.23,0.22,0.22,0.23,0.22,0.21
Other Operating Activities,-3.03,-0.14,1.14,1.16,-3.52,-0.67,-1.66,3.85,0.02,-2.25,-1.26,-1.67
Operating Cash Flow,1.42,6.08,7.84,7.5,3.25,6.5,6.21,4.49,2.65,-0.16,0.85,0.3
Operating Cash Flow Growth,-56.27%,-6.55%,26.28%,67.01%,22.62%,-,629.61%,1412.46%,-,-,-,-
Capital Expenditures,-1.24,-0.85,-0.19,-0.28,-0.36,-0.29,-0.78,-0.43,-0.36,-0.51,-0.32,-0.17
Acquisitions,0,0,0,0,0,0,0,26.16,0,0,0,0
Change in Investments,-35.71,-128.52,-214.55,-128.07,-6.49,-23.92,53.48,50.85,-34.97,-3.59,-1.17,-32.95
Investing Cash Flow,-36.95,-129.36,-214.74,-128.35,-6.85,-24.21,52.7,76.58,-35.33,-4.1,-1.49,-33.11
Dividends Paid,-0.73,-0.73,-0.73,-0.73,-0.59,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0.11,0,27.73,0,0,0,0,0.05,0.07,0.07,0
Debt Issued / Paid,-101.3,136.57,44.83,-18.82,-37.41,-46.32,-68.94,-86.33,-18.1,-25.64,6.39,-2.68
Other Financing Activities,189.62,-10.31,178.77,119.5,53.79,12.44,5.64,98.66,29.87,48.01,5.43,-57.76
Financing Cash Flow,87.59,125.64,222.87,127.68,15.79,-33.89,-63.3,12.33,11.82,22.44,11.88,-60.44
Net Cash Flow,52.06,2.35,15.97,6.83,12.19,-51.59,-4.39,93.41,-20.86,18.18,11.24,-93.26
Free Cash Flow,0.19,5.23,7.65,7.22,2.89,6.21,5.43,4.06,2.29,-0.67,0.54,0.13
Free Cash Flow Growth,-93.59%,-15.81%,40.91%,77.70%,25.96%,-,914.77%,3025.38%,-,-,-,-
Free Cash Flow Margin,1.25%,34.46%,46.74%,46.14%,17.07%,37.10%,31.65%,36.61%,27.63%,-8.93%,7.23%,2.02%
Free Cash Flow Per Share,0.03,0.73,1.05,1.24,0.49,1.12,0.97,0.86,0.55,-,0.13,0.03
