Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.43,0.23,0.82,1.35,-,0,-0
Other Operating Activities,-1.76,-0.43,-1,-1.77,-0.19,-,0
Operating Cash Flow,-0.33,-0.2,-0.18,-0.41,-0.19,0,-0
Share Issuance / Repurchase,0,0,0,0,118.9,0,0.03
Debt Issued / Paid,0.32,0.2,0,0,-0.17,0,0.06
Other Financing Activities,1.15,-,-,-,-1.78,-,-0.08
Financing Cash Flow,1.47,0.2,0,0,116.95,0,0
Net Cash Flow,-0.01,0,-0.18,-0.41,0.61,0,0
Free Cash Flow,-0.33,-0.2,-0.18,-0.41,-0.19,0,-0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.03,-0.03,-,-
