Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Net Income,-194.1,42.29,54.78,51.17,51.52,35.09,37.11,34.81,47.66,-44.06,28.51,29.85,8.45,31.24,35.84,35.05,32.97
Depreciation & Amortization,6.86,7.13,6.96,6.81,7.08,8.08,6.34,6.62,6.15,6.58,6.82,6.58,7.93,4.73,4.98,4.97,4.81
Share-Based Compensation,4.77,4.83,6.09,5.26,4.25,2.55,2.18,2.6,2.08,2.35,0,0,0,0,0,0,0
Other Operating Activities,282.98,-50.82,-7.14,34.19,5.54,1.67,21.84,-49.3,9.02,90.67,-23.01,-2.88,-47.93,15.65,19.14,15.23,-8.38
Operating Cash Flow,100.52,3.44,60.69,97.44,68.38,47.39,67.46,-5.27,64.91,55.54,12.31,33.55,-31.55,51.62,59.95,55.25,29.4
Operating Cash Flow Growth,47.01%,-92.75%,-10.04%,-,5.34%,-14.67%,447.90%,-,-,7.60%,-79.46%,-39.27%,-,-,-,-,-
Capital Expenditures,-1.22,-2.25,3.6,2.23,5.11,19.31,-1.98,-1.09,0.02,-1.76,-1.24,-1.12,-1.03,-1.96,-1.45,-1.59,-2.19
Acquisitions,0,0,-8.2,0,-5.2,-9.09,0,-4.35,0,-1.36,0,0,0,0,0.45,-0.45,0
Change in Investments,"1,920.77",-501.95,-170.27,-243.26,-176.91,391.59,-765.25,-540.2,"-1,074.69",-771.62,-598.68,-899.1,-115.62,-151.7,89.03,-52.04,-23.39
Other Investing Activities,-,-,-,0.71,19.74,-,-,-,-,1.35,-,-,-,-,-0.45,0.45,-
Investing Cash Flow,"1,919.56",-504.2,-174.87,-240.32,-157.26,401.81,-767.23,-545.65,"-1,074.68",-773.4,-599.92,-900.22,-116.64,-153.66,87.59,-53.63,-25.58
Dividends Paid,-16.19,-16.13,-16.33,-16.53,-16.91,-13.68,-13.79,-13.78,-10.32,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,-30.85,-28.95,-81.23,-60.6,-23.22,0,0,0,"1,643.47",0,1.52,-1.52,0,0,0,0
Debt Issued / Paid,397.58,318.11,379.6,8.19,0.64,-35.72,1.63,-0.91,1.3,-1.39,0.28,-2.27,-203.97,-28.22,-55.96,-81.53,66.82
Other Financing Activities,-433.15,240.69,-430.62,-229.14,-235.56,-396.55,399.44,269.52,825.05,"-1,198.24","1,482.85","1,533.54",757.53,139.24,-29.57,188.3,-147.14
Financing Cash Flow,-51.77,511.83,-96.29,-318.7,-312.42,-469.17,387.28,254.84,816.03,443.84,"1,483.13","1,532.78",552.04,111.02,-85.53,106.77,-80.32
Net Cash Flow,"1,968.31",11.07,-210.48,-461.58,-401.3,-19.97,-312.49,-296.09,-193.74,-274.01,895.52,666.11,403.85,8.98,62.02,108.4,-76.5
Free Cash Flow,99.3,1.19,64.28,99.67,73.49,66.7,65.48,-6.36,64.93,53.78,11.07,32.44,-32.58,49.65,58.51,53.67,27.21
Free Cash Flow Growth,35.13%,-98.21%,-1.83%,-,13.19%,24.02%,491.36%,-,-,8.31%,-81.07%,-39.56%,-,-,-,-,-
Free Cash Flow Margin,-,0.65%,34.00%,55.81%,41.99%,37.95%,44.43%,-4.14%,41.65%,35.30%,7.60%,23.54%,-31.05%,33.92%,40.15%,36.34%,18.45%
Free Cash Flow Per Share,0.56,0.01,0.36,0.55,0.40,0.36,0.35,-0.03,0.35,0.29,0.06,0.18,-0.18,-,-,-,-
