Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.57,-0.57,1.96,3.98,7.01,-1.1,-0
Other Operating Activities,-0.21,0.32,-2.11,-4.38,-7.19,0.38,-
Operating Cash Flow,0.36,-0.25,-0.15,-0.4,-0.18,-0.72,-0
Change in Investments,120.8,0,0,0,0,0,0
Investing Cash Flow,120.8,0,0,0,0,0,0
Share Issuance / Repurchase,-120.8,0,0,0,0,124.1,0
Debt Issued / Paid,-0.17,1.43,0,0.34,0,-0.05,0.02
Other Financing Activities,-,-,-,-,-0,5.51,-0.02
Financing Cash Flow,-120.97,1.43,0,0.34,-0,129.56,0
Net Cash Flow,0.2,0.16,-0.15,-0.06,-0.18,0.44,0
Free Cash Flow,0.36,-0.25,-0.15,-0.4,-0.18,-0.72,-0
Free Cash Flow Per Share,0.07,-0.02,-0.01,-0.03,-0.02,-0.10,-
