Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.79,1.47,0.05,-0.39,-0.52,-0.54,0
Other Operating Activities,-2.99,-1.91,-0.21,0.24,0.52,-1.24,-
Operating Cash Flow,-0.21,-0.44,-0.16,-0.15,-,-1.78,0
Change in Investments,1.2,0,0,0,-,0,0
Investing Cash Flow,1.2,0,0,0,-,0,0
Share Issuance / Repurchase,0,0,0,0,-,505.92,0
Debt Issued / Paid,0,0,0,0,-,-0.5,0
Other Financing Activities,-,-,-,-,-,-0.41,-0.02
Financing Cash Flow,0,0,0,0,-,505.01,-0.02
Net Cash Flow,0.99,-0.44,-0.16,-0.15,-,3.24,-0.02
Free Cash Flow,-0.21,-0.44,-0.16,-0.15,-,-1.78,0
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.00,-,-0.03,-
