Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.77,0.3,-0.1,-0.25,-0.13,-0.02
Other Operating Activities,-1.06,-0.59,-0.25,0.18,-0.3,-0.04
Operating Cash Flow,-0.29,-0.29,-0.35,-0.08,-0.42,-0.06
Change in Investments,-1.38,0,0,0,-139.38,0
Investing Cash Flow,-1.38,0,0,0,-139.38,0
Share Issuance / Repurchase,0,0,0,0,141.13,0.05
Debt Issued / Paid,1.38,0,0,0,-0.37,0.37
Other Financing Activities,-,-,-,-139.38,-,-
Financing Cash Flow,1.38,0,0,-139.38,140.76,0.42
Net Cash Flow,-0.29,-0.29,-0.35,-0.08,0.96,0.36
Free Cash Flow,-0.29,-0.29,-0.35,-0.08,-0.42,-0.06
Free Cash Flow Per Share,-0.02,-0.02,-0.02,-0.00,-0.07,-0.02
