Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,2.23,1.19,6.68,5.78,1.65,5.8,1.73,-2.2
Other Operating Activities,-2.31,-1.24,-6.93,-6.01,-1.78,-6.07,-2.32,0.83
Operating Cash Flow,-0.08,-0.05,-0.25,-0.23,-0.14,-0.27,-0.59,-1.37
Change in Investments,0.02,0,0.03,0,0.04,0,0,-483
Investing Cash Flow,0.02,0,0.03,0,0.04,0,0,-483
Share Issuance / Repurchase,0,0,0,0,0,0,0,495.32
Debt Issued / Paid,0,0,0.13,0.38,0,0,0,-0.1
Other Financing Activities,-,-,-,-,-,-,-0.1,-9.71
Financing Cash Flow,0,0,0.13,0.38,0,0,-0.1,485.51
Net Cash Flow,-0.06,-0.05,-0.09,0.14,-0.1,-0.27,-0.69,1.14
Free Cash Flow,-0.08,-0.05,-0.25,-0.23,-0.14,-0.27,-0.59,-1.37
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.04
