Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.63,0.27,-0.19,-0.35,-0.14
Other Operating Activities,-0.85,-0.44,-0.08,0.14,-0.25
Operating Cash Flow,-0.22,-0.17,-0.27,-0.21,-0.4
Change in Investments,0,0,0,0,-175.95
Other Investing Activities,-,-,-,-,-0.27
Investing Cash Flow,0,0,0,0,-176.22
Share Issuance / Repurchase,0,0,0,0,181.68
Other Financing Activities,-,-,-,-,-180.19
Financing Cash Flow,0,0,0,0,1.48
Net Cash Flow,-0.22,-0.17,-0.27,-0.21,1.08
Free Cash Flow,-0.22,-0.17,-0.27,-0.21,-0.4
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.04
