Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Net Income,7.68,-11.79,0.43,-14.41,5.71,13.85,38.86,11.99,11.86,4.76,14.44,21.22,-5.12,5.64,-8.81,23.86,11.07,9.32,10.91,8.4,7.94,3.85,3.68,7.92,3.78,6.95,11.44,0,-7.26,0.02,5.72,7.05,2.74,4.78,4.67,4.83,1.94
Other Operating Activities,-40.64,18.2,-84.54,-62.99,48.51,-82.05,-123.57,-9.12,-6.5,24.66,44.91,25.9,-67.1,-122.77,-31.23,-36.89,-28.41,-25.64,-6.9,6.53,-28.37,-60.16,-56.29,75.95,46.37,-64.52,-8.94,-17.72,-11.95,-9.79,-21.07,16.8,-1.32,-9.11,-42.16,-201.45,-91.91
Operating Cash Flow,-32.96,6.41,-84.11,-77.4,54.21,-68.19,-84.71,2.86,5.36,29.41,59.36,47.12,-72.22,-117.13,-40.04,-13.03,-17.34,-16.32,4.01,14.92,-20.43,-56.31,-52.61,83.88,50.15,-57.57,2.49,-17.72,-19.21,-9.77,-15.35,23.84,1.42,-4.33,-37.49,-196.62,-89.96
Operating Cash Flow Growth,-,-,-,-,910.85%,-,-,-93.93%,-,-,-,-,-,-,-,-,-,-,-,-82.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-13.57,-15.93,-12.21,-10.72,-10.74,-10.72,-10.63,-10.66,-13.58,-13.68,-10.61,-10.69,-10.63,-8.58,-8.39,-8.41,-8.4,-10.79,-8.51,-12.29,0,-6.14,-5.45,-11.03,0,-5.47,-5.48,-10.58,0,-4.95,-5.58,-8.71,0,-4.6,-2.83,-3.46,0
Share Issuance / Repurchase,0,-0.22,55.33,0,0,0,0,0,0,0,0,0,78.24,0,0,0,0,0,94.61,0,0,22.47,0,0,0,0,-3.37,-2,0,-5.55,-0.11,96.05,-0.01,-0,0,141.55,141.55
Debt Issued / Paid,44.99,54,16,79.95,-51.35,115,85,-74.86,79.87,6,-46,-99.06,63.75,91.52,85,5,57.78,23,-87,-10,30,41.5,-16.93,-26,-29,58,4,35,0,3.83,5.93,-59,2,9,40.5,68.5,20
Other Financing Activities,-0.09,-,-3.11,-,-,-0.04,-0,-,-0.23,-2.75,-,-,-,0,-0.31,-1.18,-,-,-0,0,-1.26,-,-,-,-,-,-,-,-1.08,-,-0.01,-,-0.5,-0.71,0.31,-2.95,-0.46
Financing Cash Flow,31.33,37.85,56.01,69.23,-62.08,104.24,74.36,-85.52,66.06,-10.43,-56.61,-109.75,131.36,82.95,76.3,-4.58,49.38,12.21,-0.9,-22.29,28.74,57.84,-22.39,-37.03,-29,52.53,-4.85,22.42,-1.08,-6.67,0.24,28.34,1.49,3.69,37.98,203.64,161.09
Net Cash Flow,-1.63,44.26,-28.1,-8.18,-7.87,36.05,-10.35,-82.66,71.42,18.98,2.74,-62.63,59.14,-34.19,36.26,-17.62,32.04,-4.11,3.11,-7.37,8.31,1.53,-75,46.85,21.15,-5.05,-2.36,4.69,-20.29,-16.44,-15.12,52.19,2.91,-0.64,0.5,7.02,71.13
Free Cash Flow,-32.96,6.41,-84.11,-77.4,54.21,-68.19,-84.71,2.86,5.36,29.41,59.36,47.12,-72.22,-117.13,-40.04,-13.03,-17.34,-16.32,4.01,14.92,-20.43,-56.31,-52.61,83.88,50.15,-57.57,2.49,-17.72,-19.21,-9.77,-15.35,23.84,1.42,-4.33,-37.49,-196.62,-89.96
Free Cash Flow Growth,-,-,-,-,910.85%,-,-,-93.93%,-,-,-,-,-,-,-,-,-,-,-,-82.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-98.01%,18.34%,-283.20%,-282.21%,198.22%,-263.59%,-399.08%,14.08%,26.85%,125.58%,256.67%,198.02%,-346.54%,-550.82%,-255.19%,-68.81%,-99.12%,-91.71%,22.66%,90.16%,-161.87%,-507.02%,-504.98%,534.85%,350.57%,-540.64%,19.94%,-188.42%,-173.40%,-85.50%,-166.08%,205.45%,14.49%,-40.49%,-477.07%,-2892.73%,-6877.91%
Free Cash Flow Per Share,-0.93,0.18,-2.52,-2.49,1.75,-2.20,-2.74,0.09,0.17,0.95,1.93,1.53,-2.42,-4.70,-1.61,-0.53,-0.70,-0.80,0.18,0.84,-1.15,-3.26,-3.28,5.24,3.14,-3.61,0.15,-1.09,-1.18,-0.59,-0.92,1.44,0.14,-0.44,-3.80,-19.97,-9.14
