Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,0.32,0.2,0.23,3.82,-0.05,1.16,-2.15,2.13,-0.29,-0.02
Other Operating Activities,-0.62,-0.39,-0.7,-4.11,-0.09,-1.23,2.05,-2.28,0.13,0.02
Operating Cash Flow,-0.3,-0.19,-0.47,-0.29,-0.14,-0.07,-0.1,-0.15,-0.15,0
Change in Investments,21.26,-0.23,0.11,0,0,0,0,0,0,0
Investing Cash Flow,21.26,-0.23,0.11,0,0,0,0,0,0,0
Share Issuance / Repurchase,-21.06,0,0,0,0,0,0,0,0,0
Debt Issued / Paid,0.1,0.32,0.25,0,0,0,-0.11,0,0,0
Other Financing Activities,-,-,-,-,-,-,-0.01,-0.04,-,-
Financing Cash Flow,-20.96,0.32,0.25,0,0,0,-0.12,-0.04,0,0
Net Cash Flow,0,-0.09,-0.11,-0.29,-0.14,-0.07,-0.22,-0.19,1.11,0
Free Cash Flow,-0.3,-0.19,-0.47,-0.29,-0.14,-0.07,-0.1,-0.15,-0.15,0
Free Cash Flow Per Share,-0.08,-0.04,-0.04,-0.02,-0.01,-0.01,-0.01,-0.01,-0.03,-
