Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.96,0.37,-0.09,-0.01,-0.01
Other Operating Activities,-1.02,-0.56,-0.82,0,0
Operating Cash Flow,-0.06,-0.2,-0.9,-0.01,-0.01
Share Issuance / Repurchase,0,0,169.05,0,0
Debt Issued / Paid,0,0,-0.55,0,0.52
Other Financing Activities,-,-,8.11,-0.06,-0.05
Financing Cash Flow,0,0,176.62,-0.06,0.47
Net Cash Flow,-0.06,-0.2,0.62,-0.06,0.46
Free Cash Flow,-0.06,-0.2,-0.9,-0.01,-0.01
Free Cash Flow Per Share,-0.00,-0.01,-0.07,-0.00,-0.00
