Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.19,0.07,-0.07,-0.27,-0.1
Other Operating Activities,-0.25,-0.12,0.02,0.02,-0.05
Operating Cash Flow,-0.06,-0.05,-0.04,-0.25,-0.15
Change in Investments,-0.69,0,0,0,-69
Investing Cash Flow,-0.69,0,0,0,-69
Share Issuance / Repurchase,0,0,0,0,71.76
Debt Issued / Paid,0.74,0,0,0,-0.11
Other Financing Activities,-,-,-,0.02,-2.08
Financing Cash Flow,0.74,0,0,0.02,69.58
Net Cash Flow,-0.01,-0.05,-0.04,-0.25,0.44
Free Cash Flow,-0.06,-0.05,-0.04,-0.25,-0.15
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.12,-0.03
