Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,0.49,0.29,0.04,-0.25,-0.24,-0.22,-0.19,-0.1,-0.2
Other Operating Activities,0.17,0.06,-0.1,0.11,-0.13,0.07,0.11,-0.71,0.12
Operating Cash Flow,0.66,0.35,-0.06,-0.14,-0.37,-0.15,-0.08,-0.81,-0.08
Share Issuance / Repurchase,0,0,0,0,0,0,0,118.8,0.03
Debt Issued / Paid,0.19,0.35,0.06,0.29,0.3,0,0,-0.15,0.15
Other Financing Activities,-,-,-,-,-,-0,-0,-2.55,-0.05
Financing Cash Flow,0.19,0.35,0.06,0.29,0.3,-0,-0,116.1,0.13
Net Cash Flow,0.85,0.7,0,0.15,-0.07,-0.15,-0.08,115.3,0.05
Free Cash Flow,0.66,0.35,-0.06,-0.14,-0.37,-0.15,-0.08,-0.81,-0.08
Free Cash Flow Per Share,0.04,0.02,-0.00,-0.01,-0.03,-0.01,-0.01,-0.10,-0.06
