Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-0.15,0.05,0.3,0.35,0.4,0.52,0.17,0.37,0.35,0.4,0.64,0.68,0.01,0,0.17
Depreciation & Amortization,0.25,0.26,0.25,0.25,0.25,0.26,0.28,0.28,0.28,0.27,0.28,0.28,0.28,0.28,0.29
Share-Based Compensation,0.07,0.07,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01
Other Operating Activities,-0.55,1.18,-0.69,1.44,-1.26,1.18,-1.19,1.52,-0.67,0.34,-1.75,-0.3,-0.2,1.4,-2.11
Operating Cash Flow,-0.38,1.55,-0.08,2.07,-0.6,1.97,-0.72,2.18,-0.03,1.02,-0.81,0.68,0.11,1.71,-1.64
Operating Cash Flow Growth,-,-21.31%,-,-5.09%,-,92.86%,-,222.96%,-,-40.16%,-,-,-,-,-
Capital Expenditures,-0.13,-0.24,-0.02,-0.13,-0.07,0.43,-0.16,0.02,-0.16,-0.05,-0.02,-0.08,-0.08,0.06,-0.3
Change in Investments,-4.6,-12.33,-11.39,-6.56,2.23,7.95,-1.03,-8.26,-11.55,10.63,2.85,-18.73,-4.28,-20.36,-5.23
Other Investing Activities,0.11,0.06,-,-,0.03,0.05,0,0.05,0.01,-0.7,0.02,-,0.04,0.04,-0.01
Investing Cash Flow,-4.62,-12.52,-11.4,-6.69,2.19,8.43,-1.19,-8.19,-11.7,9.88,2.85,-18.81,-4.32,-20.26,-5.54
Share Issuance / Repurchase,-0.08,-0.23,-0.7,-0.98,0,-0.03,0,0.02,12.02,0,0,0,-0.04,-0,-0
Debt Issued / Paid,-16.24,2.44,9.87,-1.75,-1.78,-2.1,-2.22,-3.23,-3.56,-2.44,-2.04,-1.76,2.92,-3.13,9.87
Other Financing Activities,19.36,9.37,-3.25,-3.36,2.86,0.54,1.05,-0.48,1.4,6.12,-1.28,22.93,-1.61,27.06,-1.55
Financing Cash Flow,3.04,11.57,5.92,-6.09,1.08,-1.58,-1.17,-3.69,9.87,3.68,-3.32,21.17,1.26,23.93,8.32
Net Cash Flow,-1.96,0.61,-5.56,-10.71,2.67,8.81,-3.08,-9.7,-1.86,14.58,-1.28,3.03,-2.95,5.38,1.14
Free Cash Flow,-0.51,1.31,-0.09,1.94,-0.67,2.4,-0.88,2.2,-0.18,0.97,-0.83,0.6,0.03,1.76,-1.94
Free Cash Flow Growth,-,-45.39%,-,-11.70%,-,147.37%,-,266.61%,-,-45.04%,-,-,-,-,-
Free Cash Flow Margin,-17.34%,43.40%,-2.90%,59.86%,-19.88%,66.58%,-23.94%,62.49%,-5.48%,24.99%,-22.73%,16.84%,1.08%,55.53%,-58.87%
Free Cash Flow Per Share,-0.22,0.55,-0.04,0.79,-0.27,0.97,-0.36,0.86,-0.07,0.66,-0.56,0.41,-,-,-
