Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.38,1.57,2.25,-0.26,2.26,-1.54,1.45
Other Operating Activities,-0.47,-1.8,-2.39,0.11,-2.37,1.42,-1.85
Operating Cash Flow,-0.09,-0.23,-0.14,-0.15,-0.11,-0.13,-0.41
Change in Investments,0,0,0,0,0,0,-92
Investing Cash Flow,0,0,0,0,0,0,-92
Share Issuance / Repurchase,0,0,0,0,0,-0.3,96.52
Debt Issued / Paid,0,0,0,0,0,0.3,-0.08
Other Financing Activities,-,-,-,-,-,-0.02,-2.18
Financing Cash Flow,0,0,0,0,0,-0.02,94.25
Net Cash Flow,-0.09,-0.23,-0.14,-0.15,-0.11,-0.15,1.84
Free Cash Flow,-0.09,-0.23,-0.14,-0.15,-0.11,-0.13,-0.41
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.06
