Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,108.5,-186.67,-23.79,-88.07,55.71,-111.18,23.37,-4.04,19.13,27.33,-0.9,2.84,-10.23
Depreciation & Amortization,11.04,29,25.68,21.25,18.59,9.32,5.19,2.98,5.8,3.75,3.55,6.96,7.01
Share-Based Compensation,3.04,1.74,1.9,1.98,1.3,2.55,2.8,1.77,2.76,0.2,0.17,0.06,-0.71
Other Operating Activities,-131.83,133.62,-30.76,37.37,-103.89,72.76,-53.74,-18.9,-40.82,-28.91,-2.76,-9.63,2.46
Operating Cash Flow,-9.26,-22.31,-26.96,-27.48,-28.29,-26.55,-22.37,-18.2,-13.12,2.36,0.06,0.23,-1.47
Capital Expenditures,-0.23,-13.16,-4.85,-28.69,-26.72,-101.09,-62.2,-50.98,-20.8,-1.69,-5.92,0.91,-0.44
Acquisitions,0,0,0,0,-30.17,0,0,0,0,0,0,0,0
Change in Investments,-0.33,0,0,0,0,0,0,0,0,0,0,0,0
Investing Cash Flow,-0.55,-13.16,-4.85,-28.69,-56.9,-101.09,-62.2,-50.98,-20.8,-1.69,-5.92,0.91,-0.44
Share Issuance / Repurchase,0.01,41.54,7.38,43.41,32.53,18.23,210.66,113.96,97.4,0.61,0,7.72,0
Debt Issued / Paid,-3.81,-5.79,-3.19,-5.38,-6.59,30.73,3.49,6.5,-26.2,0,-0.01,-0.01,-0.02
Other Financing Activities,-0.97,0.17,-1.67,-1.45,-1.15,-0.15,0.57,0.48,0.17,-0.64,-0.54,-1.19,-
Financing Cash Flow,-4.76,35.92,2.53,36.59,24.79,48.82,214.72,120.94,71.37,-0.02,-0.55,6.52,-0.02
Net Cash Flow,-14.58,0.46,-29.29,-19.58,-60.4,-78.82,130.14,51.76,37.45,0.66,-6.42,7.65,-1.92
Free Cash Flow,-9.49,-35.47,-31.82,-56.17,-55.01,-127.64,-84.57,-69.18,-33.92,0.68,-5.87,1.13,-1.9
Free Cash Flow Margin,-49.89%,-162.45%,-100.46%,-128.11%,-103.15%,-220.44%,-168.00%,-206.19%,-106.06%,5.21%,-101.97%,12.29%,-14.95%
Free Cash Flow Per Share,-0.04,-0.18,-0.16,-0.32,-0.32,-0.87,-0.58,-0.56,-0.30,0.01,-0.06,0.01,-0.02
