Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,24.3,29.48,16.24,21.31,20.68,28.32,26.98,27.73,25.51,17.55,13.1,4.96,0.75,12.83,14.62,12.28,14.16,13.09,12.26,11.85,11.74,4.46,-3.29,2.61,5.87
Depreciation & Amortization,4.53,4.5,3.67,2.07,2.07,1.71,1.7,1.72,1.7,1.7,1.7,1.74,1.74,1.72,1.7,1.7,1.6,1.55,1.62,1.36,1.34,1.81,1.04,1.48,1.52
Share-Based Compensation,1.39,0.9,0.97,0.84,0.74,0.65,0.56,0.47,0.61,0.66,0.55,0.57,0.54,0.6,0.61,0.56,0.47,0.63,0.41,0.22,0.19,0.39,0.27,0.28,0.22
Other Operating Activities,-2.64,16.96,18.24,15.33,-8.35,-3.87,7.49,6.95,43.24,-27.11,8.25,-30.51,4.7,7.43,-5.99,-4.82,2.11,-1.64,19.73,-10.66,11.46,-0.23,20.49,-9.66,29.72
Operating Cash Flow,27.58,51.84,39.12,39.55,15.14,26.81,36.73,36.88,71.07,-7.2,23.59,-23.23,7.73,22.57,10.93,9.72,18.33,13.73,34.08,3.62,26.4,7.75,19.62,-4.08,38.7
Operating Cash Flow Growth,82.22%,93.33%,6.51%,7.26%,-78.70%,-,55.73%,-,819.59%,-,115.76%,-,-57.84%,64.38%,-67.92%,168.79%,-30.57%,77.25%,73.67%,-,-31.78%,-,-,-,-
Capital Expenditures,-5.79,-2.83,-1.32,-3.08,-1.24,-1.54,-2.13,-0.57,-0.76,-3.98,-0.74,-1.31,-1.17,-0.97,-1.7,-3.41,-5.05,-1.28,-1.94,-1.66,-0.49,-1.43,-2.59,6.32,-0.92
Acquisitions,0,0,69.95,0,0,-7.46,0,0,0,0,0,0,0,0,0,0,0,-0.15,-6.45,0,0,0,0,0,0
Change in Investments,-210.84,-176.5,414.55,-426.31,-329.21,-77.28,-255.94,466.95,-108.43,-354,-370.52,-952.04,-431.98,25.22,-130.8,-142.94,-27.04,-178.87,-324.66,-221.88,-23.55,-28.31,-77.47,-77.82,-15.43
Other Investing Activities,-,-,-,-,-,0.01,-,-,-,-,-1.64,-,1.64,-,-4.5,-,-,-,-4,-,-,-,-,-,-
Investing Cash Flow,-216.63,-179.33,483.18,-429.39,-330.45,-86.26,-258.07,466.38,-109.19,-357.98,-372.9,-953.34,-431.51,24.25,-137,-146.35,-32.09,-180.3,-337.05,-223.54,-24.04,-29.74,-80.06,-71.51,-16.35
Dividends Paid,-4.62,-4.62,-4.61,-3.57,-3.08,-3.07,-3.06,-3.05,-2.34,-2.35,-2.17,-2.17,-2.16,-2.17,-2.16,-0.77,-0.77,-0.77,-0.77,-2.66,-1.75,-1.75,-1.75,-1.75,-1.75
Share Issuance / Repurchase,0.36,1.82,0.97,0.17,0,0,0,-0,-1.11,0,0,0,-0.48,0,-10.06,0,0.17,0.9,0.1,94.74,0,0.12,0,0,0
Debt Issued / Paid,260.84,190.43,-449.83,596.74,0.74,4.25,1.21,-2.52,-665.62,707.44,-146.64,-241.08,367.45,-6.19,-181.82,268.95,-106.19,86.69,219.44,7.07,-9.24,13.8,-6.9,0.88,-6.35
Other Financing Activities,398.61,-1.63,-92.29,-464.02,196.49,411.93,130.42,-317.84,594.88,-184.61,563.7,815.98,327.63,-55.71,429.31,-43.24,115.11,55.98,55.06,43.1,68.7,58.26,49.17,-66.47,27.45
Financing Cash Flow,655.19,185.99,-545.76,129.31,194.14,413.1,128.57,-323.42,-74.19,520.48,414.89,572.73,692.45,-64.06,235.27,224.95,8.32,142.81,273.83,142.24,57.71,70.43,40.52,-67.34,19.35
Net Cash Flow,466.14,58.5,-23.45,-260.52,-121.17,353.65,-92.77,179.83,-112.31,155.3,65.58,-403.84,268.66,-17.24,109.2,88.32,-5.44,-23.76,-29.14,-77.68,60.07,48.44,-19.91,-142.93,41.71
Free Cash Flow,21.79,49.01,37.81,36.47,13.89,25.27,34.61,36.31,70.3,-11.18,22.85,-24.54,6.56,21.6,9.23,6.31,13.28,12.45,32.14,1.96,25.91,6.32,17.03,2.23,37.79
Free Cash Flow Growth,56.85%,93.91%,9.26%,0.46%,-80.24%,-,51.48%,-,972.52%,-,147.41%,-,-50.65%,73.52%,-71.27%,222.17%,-48.73%,97.02%,88.71%,-12.35%,-31.43%,-,-,-,-
Free Cash Flow Margin,24.95%,52.38%,50.21%,51.91%,20.21%,34.37%,47.81%,50.19%,99.08%,-18.36%,41.51%,-55.81%,18.00%,41.12%,17.32%,12.09%,25.24%,24.45%,65.28%,4.12%,56.27%,14.80%,47.86%,6.33%,100.46%
Free Cash Flow Per Share,0.71,1.60,1.59,1.53,0.58,1.08,1.47,1.55,2.99,-0.47,0.97,-1.04,0.28,0.92,0.39,0.27,0.56,0.53,1.36,0.09,1.18,0.29,-,-,-
