Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.3,-1.11,-0.84,-0.02,-0,0,0
Other Operating Activities,-0.35,1.02,0.81,-0.39,0,-,0.01
Operating Cash Flow,-0.05,-0.09,-0.03,-0.41,0,0,0.01
Change in Investments,0,0,0,-116.79,0,0,0
Investing Cash Flow,0,0,0,-116.79,0,0,0
Share Issuance / Repurchase,0,0,0,112.21,0,0,0
Debt Issued / Paid,0.05,0.08,0.09,-0.06,0.03,0.06,-0.01
Other Financing Activities,-,-,-0.05,5.05,-0.02,-0.06,0
Financing Cash Flow,0.05,0.08,0.04,117.2,0,0,-0.01
Net Cash Flow,-0,-0.01,0.01,0,0,0,0
Free Cash Flow,-0.05,-0.09,-0.03,-0.41,0,0,0.01
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.04,-,-,0.12
