Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,7.97,4.39,6.39,7.64,7.29,-1.87,6.56,-1.08,7.62,0,0,0,-0
Other Operating Activities,-8.09,-4.49,-6.57,-9.47,-8.04,1.49,-7.16,0.98,-8.61,-,-,-,0
Operating Cash Flow,-0.12,-0.1,-0.19,-1.84,-0.75,-0.38,-0.6,-0.1,-0.99,0,0,0,0
Change in Investments,0,0,0,0,0,0,0,0,-690,0,0,0,0
Investing Cash Flow,0,0,0,0,0,0,0,0,-690,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,674.9,0,0,0,0
Debt Issued / Paid,0,0,0,2,0,0,1.5,0,1.27,0,0,0,0
Other Financing Activities,-,-,-,-,-,-,-,-,15.6,-,-,-,-
Financing Cash Flow,0,0,0,2,0,0,1.5,0,691.78,0,0,0,0
Net Cash Flow,-0.12,-0.1,-0.19,0.16,-0.75,-0.38,0.9,-0.11,0.79,0,0,0,0
Free Cash Flow,-0.12,-0.1,-0.19,-1.84,-0.75,-0.38,-0.6,-0.1,-0.99,0,0,0,0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.02,-0.01,-0.00,-0.01,-0.00,-0.02,-,-,-,-
