Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,9.74,8.99,11.1,11.51,10.21,10.17,11.18,9.65,8.98,9.69,8.44,4.76,2.93,5.07,4.48,4.02,3.32,3.49,3.15,3.15,2.99,-0.64,3.04
Depreciation & Amortization,0.34,0.34,0.34,0.36,0.39,0.19,0.03,0.53,0.46,0.49,0.52,0.36,0.52,1.51,0.28,-0.03,0.59,0.29,0.25,0.28,0.26,0.29,0.23
Share-Based Compensation,1.14,0.97,0.42,0.45,0.73,2.18,0.38,0.32,0.33,0.48,0.25,0.28,0.24,0.35,0.2,0.2,0.35,0.32,0.14,0.34,0.27,0.39,0.13
Other Operating Activities,-0.86,-4.26,3.97,8.03,-2.15,17,14.83,11,44.85,30.69,-18.07,-35.49,-0.64,0.39,-19.79,-25.68,-2.47,6.3,-0.73,-1.6,9.41,6.61,1.33
Operating Cash Flow,10.36,6.04,15.82,20.35,9.18,29.54,26.41,21.5,54.62,41.35,-8.86,-30.09,3.07,7.32,-14.83,-21.49,1.79,10.39,2.81,2.17,12.93,6.64,4.72
Operating Cash Flow Growth,12.80%,-79.56%,-40.08%,-5.37%,-83.19%,-28.55%,-,-,1682.15%,465.05%,-,-,71.32%,-29.60%,-,-,-86.17%,56.52%,-40.55%,-,-,-,-
Capital Expenditures,-2.32,-0.53,-0.24,-0.69,-0.09,0.22,0.42,-0.66,0,0.06,0,-0.26,-0.07,-0.93,0.26,0.25,0.11,-0.7,-0.29,-0.3,-0.45,-0.51,-0.32
Change in Investments,-56.39,-67.44,-77.5,-108.13,56.06,-49.24,-14.87,-49.71,-92.57,-86.05,-34.04,-249.23,-15.92,-56.37,-81.98,-42.8,-6.59,-42.85,-33.78,-19.75,-11.51,-17.03,-32.18
Other Investing Activities,-,-,-,-,0.11,3.13,0,-34.94,-,-,-,-,-,-0,-,-,0.05,0.1,0.25,-,0.01,0.83,0.2
Investing Cash Flow,-58.71,-67.97,-77.74,-108.83,56.08,-45.9,-14.46,-85.31,-92.57,-85.99,-34.04,-249.49,-16,-57.29,-81.72,-42.54,-6.43,-43.45,-33.82,-20.04,-11.95,-16.72,-32.3
Dividends Paid,-0.85,-0.84,-0.84,-0.7,-0.7,-0.69,-0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-2.13,0.65,0.27,0.08,0.24,0.54,0.25,0.1,0.08,-0.16,-1.44,-0.01,-1.18,0.08,-0.01,0.05,0.11,3.83,16.49,0.35,0.29,0.6,0.34
Debt Issued / Paid,0,85,0,0,0,0,0,0,-1.95,-3.72,-3.34,-1.38,-3.33,-3.33,-3.33,35.88,-4.32,-20.91,13.8,2.37,-3.19,-6.18,5.59
Other Financing Activities,111.3,20.48,-151.33,26.2,65.59,-124.1,3.82,54.35,210.94,-10.08,53.48,305.81,77.49,112.98,75.44,69.28,12.48,44.12,-27.25,41.21,-7.75,28.4,10.71
Financing Cash Flow,108.32,105.28,-151.9,25.58,65.13,-124.25,3.38,54.45,209.06,-13.96,48.71,304.42,72.98,109.72,72.1,105.21,8.27,27.05,3.03,43.94,-10.65,22.82,16.64
Net Cash Flow,59.97,43.35,-213.82,-62.9,130.39,-140.6,15.33,-9.36,171.11,-58.61,0,24.84,60.05,59.75,-24.45,41.18,3.63,-6,-27.98,26.06,-9.67,12.74,-10.94
Free Cash Flow,8.04,5.51,15.59,19.65,9.09,29.76,26.83,20.85,54.62,41.41,-8.86,-30.35,2.99,6.39,-14.57,-21.24,1.9,9.69,2.52,1.87,12.48,6.13,4.41
Free Cash Flow Growth,-11.61%,-81.49%,-41.90%,-5.71%,-83.35%,-28.13%,-,-,1724.42%,547.81%,-,-,57.58%,-34.06%,-,-,-84.78%,58.17%,-42.84%,-,-,-,-
Free Cash Flow Margin,20.68%,14.35%,36.65%,47.10%,22.36%,70.49%,61.41%,51.84%,144.15%,104.26%,-24.61%,-114.85%,14.39%,26.19%,-59.88%,-97.49%,10.15%,54.29%,13.81%,10.50%,69.55%,41.57%,25.59%
Free Cash Flow Per Share,0.57,0.39,1.11,1.40,0.65,2.14,1.95,1.51,3.97,3.03,-0.64,-2.20,0.22,0.46,-1.06,-1.55,0.14,0.71,0.21,0.16,1.08,0.54,0.39
