Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.57,0.66,0.02,-0.26,-,-0,-0
Other Operating Activities,-1.8,-0.85,-0.13,0.1,-0.76,0,0
Operating Cash Flow,-0.23,-0.19,-0.11,-0.17,-0.76,-,-0
Share Issuance / Repurchase,0,0,0,0,231.6,-,0
Debt Issued / Paid,0.26,0,-0,0,4.87,-,0
Other Financing Activities,-,-,-0.04,-0.03,-0.47,-,-0
Financing Cash Flow,0.26,0,-0.04,-0.03,236,-,-0
Net Cash Flow,0.03,-0.19,-0.15,-0.19,0.63,-,-0
Free Cash Flow,-0.23,-0.19,-0.11,-0.17,-0.76,-,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.11,-,-
