Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-1.4,1.26,4.56,9.38,-0.41,7.81,-6,17.93,-10.66
Other Operating Activities,0.87,-1.95,-4.69,-9.48,0.19,-8.59,5.77,-18,10.11
Operating Cash Flow,-0.53,-0.69,-0.13,-0.1,-0.22,-0.79,-0.23,-0.07,-0.55
Change in Investments,306.71,0,0,0,0,0,0,0,0
Investing Cash Flow,306.71,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-306.35,0,0,0,0,0,0,0,338.13
Debt Issued / Paid,0.14,0,0,0.3,0.2,0.12,0,0,0
Other Financing Activities,-,-,-,-,-,-,-,-,8.42
Financing Cash Flow,-306.21,0,0,0.3,0.2,0.12,0,0,346.54
Net Cash Flow,-0.03,-0.03,-0.13,0.2,-0.02,-0.67,-0.23,-0.07,0.99
Free Cash Flow,-0.53,-0.69,-0.13,-0.1,-0.22,-0.79,-0.23,-0.07,-0.55
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.01,-0.02,-0.01,-0.00,-0.05
