Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-0.82,-0.16,-0.07,-0.24,-0.34,-0.06,-0.18,-0.02
Other Operating Activities,0.49,0.05,-0.16,-0.19,0.27,0.01,0.08,-0.41
Operating Cash Flow,-0.33,-0.11,-0.23,-0.43,-0.07,-0.05,-0.11,-0.43
Change in Investments,0.04,0.3,0,0.01,0.01,-0.01,0,-128.44
Investing Cash Flow,0.04,0.3,0,0.01,0.01,-0.01,0,-128.44
Share Issuance / Repurchase,0,0,0,0,-2.57,2.57,0,129.96
Debt Issued / Paid,0,0.17,0.23,0,0,-0.19,-0.01,0.19
Other Financing Activities,-,-,-,-,2.57,-2.57,-,-0.44
Financing Cash Flow,0,0.17,0.23,0,0,-0.19,-0.01,129.72
Net Cash Flow,-0.29,0.36,-0,-0.42,-0.06,-0.24,-0.11,0.85
Free Cash Flow,-0.33,-0.11,-0.23,-0.43,-0.07,-0.05,-0.11,-0.43
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.03,-0.00,-0.00,-0.01,-0.08
