Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30,2021-01-31,2020-09-30,2020-07-20
Net Income,-6.6,-51.63,59.29,-29.22,-17.5,-69.07,-2.42,-0.55,-0.27,-,-0,-0
Depreciation & Amortization,12.28,4.71,0.22,0.22,0.15,0,0,0,0,-,0,0
Share-Based Compensation,8.81,11.43,10.49,10.06,9.51,63.77,0,0,0,-,0,0
Other Operating Activities,-3.67,23.47,-68.97,12.33,4.52,0.74,-23.68,-0.41,-0.04,-,-,-
Operating Cash Flow,10.82,-12.02,1.04,-6.61,-3.32,-4.57,-26.1,-0.96,-0.31,-,-0,-0
Capital Expenditures,-19.05,-14.87,-43.17,-65.91,-103.97,-45.49,-74.48,0,0,-,0,0
Change in Investments,0.71,10.72,33.23,10.07,0,0,0,0,0,-,0,0
Other Investing Activities,-,-,-,-,-,-0.17,-,-,-,-,-,-
Investing Cash Flow,-18.34,-4.15,-9.95,-55.84,-103.97,-45.66,-74.48,0,0,-,0,0
Share Issuance / Repurchase,-0.48,-0.01,-0.03,0,-3.05,-23.25,0,0,0,-,0.03,0.03
Debt Issued / Paid,0,0,0,0,0,0,-4.3,4.2,0.9,-,0.14,0.05
Other Financing Activities,-,-,-,-,-,1.04,383.99,-0.13,-0.1,-,-0.09,-0.02
Financing Cash Flow,-0.48,-0.01,-0.03,0,-3.05,-22.21,379.69,4.07,0.8,-,0.07,0.05
Net Cash Flow,-8.01,-16.18,-8.93,-62.45,-110.35,-72.44,279.11,3.11,0.5,-,0.06,0.05
Free Cash Flow,-8.24,-26.89,-42.13,-72.52,-107.29,-50.06,-100.57,-0.96,-0.31,-,-0,-0
Free Cash Flow Per Share,-0.03,-0.11,-0.17,-0.29,-0.43,-0.23,-0.46,-0.01,-0.00,-,-0.00,-0.00
