Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,0.57,0.62,0.04,-0.23,-0.41,-0.14,-0.11,-0.14,-0
Other Operating Activities,-0.81,-0.79,-0.21,-0.15,0.37,0.08,0.05,-0.65,0
Operating Cash Flow,-0.24,-0.17,-0.18,-0.38,-0.04,-0.06,-0.06,-0.79,-0
Change in Investments,171.82,0.33,0,0,0,0,0,-200,0
Investing Cash Flow,171.82,0.33,0,0,0,0,0,-200,0
Share Issuance / Repurchase,-171.74,0,0,0,0,0,0,201.5,0.03
Debt Issued / Paid,0,0.06,0.18,0.34,0,0,0,-0.07,0.07
Other Financing Activities,-,-,-,-,-,-,-,-0.43,-0.06
Financing Cash Flow,-171.74,0.06,0.18,0.34,0,0,0,201,0.03
Net Cash Flow,-0.17,0.21,0,-0.05,-0.04,-0.06,-0.06,0.21,0.03
Free Cash Flow,-0.24,-0.17,-0.18,-0.38,-0.04,-0.06,-0.06,-0.79,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.06,-
