Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31
Net Income,7.06,5.77,5.69,4.92,5.28,3.14,0.15,1.51,2.62,1.87,2.09,1.4,1.43,1.9,2.12,1.25,1.68,2.16,1.83,2.8,1.15,1.75,1.92,1.74,1.49,1.4,1.51,1.36,1.1,0.84,0.77,0.42,0.57,0.38,0.45,0.51,4.62,0.93,0.82,0.54
Depreciation & Amortization,0.88,1.39,1.4,1.42,1.33,1.2,1.38,0.49,0.49,0.5,0.41,0.56,-0.21,0.47,0.43,0.5,0.29,0.31,0.31,0.31,0.31,0.3,0.32,0.34,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.3,0.29,0.28,0.29,0.29,0.29,0.3,0.33,0.35
Share-Based Compensation,0.16,0.23,0.16,0.13,0.14,0.09,0.2,0.1,0.08,0.13,0.02,0.04,0.04,0.03,0.02,0.45,0.02,0.02,0.02,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03
Other Operating Activities,-2.87,0.4,-6.97,2.91,-0.79,-1.79,-0.44,1.09,-0.59,-0.77,-0.48,0.89,3.49,-2.34,-0.74,0.52,0.86,0.66,-0.62,1.1,0.87,0.14,-0.4,0.38,-1.06,0.19,-1.01,0.14,0.08,0.47,-0.02,0.7,0.25,0.31,-0.61,4.6,-4.18,0.59,-0.08,4.02
Operating Cash Flow,5.23,7.79,0.28,9.39,5.97,2.63,1.28,3.19,2.6,1.72,2.04,2.89,4.75,0.05,1.83,2.71,2.86,3.15,1.54,4.21,2.33,2.18,1.84,2.45,0.76,1.91,0.82,1.8,1.47,1.6,1.05,1.42,1.11,0.98,0.14,5.42,0.75,1.84,1.09,4.94
Operating Cash Flow Growth,-12.27%,195.67%,-78.13%,194.60%,129.73%,52.73%,-37.29%,10.20%,-45.30%,3092.59%,11.47%,6.56%,65.90%,-98.29%,19.05%,-35.50%,22.99%,44.54%,-16.37%,71.74%,207.40%,14.14%,124.00%,35.75%,-48.57%,19.23%,-21.59%,27.13%,32.26%,63.30%,669.85%,-73.80%,47.61%,-46.74%,-87.56%,9.68%,-,-,-,-
Capital Expenditures,0.06,-0.17,6.02,-0.15,-0.24,-0.2,-0.68,-0.14,-0.07,-0.05,0.01,-0.09,-0.07,-0.04,-0.02,-0.06,-0.12,-0.37,-0.33,-0.02,-0.21,-0.15,-0.07,-0.03,-0.1,-0.24,-0.14,-0.09,-0.08,-0.02,-0.1,-0.17,-0.25,-0.2,-0.27,-0.08,-0.15,-0.17,-0.09,-0.03
Acquisitions,0,0,0,0,0,0,153.28,0,0,0,0,-0.05,0,0,0,-0.05,0,0,0,-0.1,0,0,0,-0.3,0,0,0,-0.7,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,9.7,-74.38,-93.4,-8.53,20.16,45.5,59.54,-15.03,-4.94,-44.39,-76.99,-3.38,-54.41,-22.07,11.65,9.13,-8.71,9.57,-9.94,5.59,-24.53,4.65,-22.5,-16.17,-39.51,-7.17,2.18,2.89,6.87,-17.58,6.68,-39.42,-22.84,-5,3.07,4.76,-10.79,-7.44,2.4,-20.99
Other Investing Activities,-0,0,-0.81,-5.54,-,-,-,-,-,-,-,-,-,-,1.18,-,-,-,-,-,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,9.76,-74.55,-88.19,-14.22,19.92,45.29,212.14,-15.17,-5,-44.44,-76.98,-3.52,-54.48,-22.11,12.81,9.01,-8.83,9.19,-10.27,5.46,-26.75,4.5,-22.56,-16.51,-39.61,-7.41,2.04,2.1,6.79,-17.6,6.58,-39.59,-23.1,-5.2,2.8,4.68,-10.94,-7.62,2.3,-21.02
Dividends Paid,-1.6,-1.6,-1.6,-1.6,-1.59,-1.59,-1.6,-1.63,-0.82,-0.82,-0.81,-0.81,-0.81,-0.81,-0.77,-0.76,-0.76,-0.76,-0.48,-0.46,-0.39,-0.38,-0.31,-0.31,-0.31,-0.31,-0.24,-0.24,-0.2,-0.25,-0.24,-0.2,-0.14,-0.2,-0.2,-0.13,-0.13,-0.14,-0.13,0
Share Issuance / Repurchase,-0,0.02,0,0,0,0,0.02,0.02,0,0,0,0,0,-0.01,0,0.1,0,0.05,0.07,0.14,0,0.49,0.22,0.27,0,0.14,0.02,-1.24,-0.54,0,-5.79,0.01,-0.27,0.08,0.11,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,-42.56,-0.02,0,-10,40,0,0,0,0,0,0,-17.19,-31.19,16.91,-2.61,-2.91,17.06,6.98,-6.74,6.16,-2.18,-2.8,-4.64,3.72,3.33,-3.41,1.52,3.89,3.34,-2.68,-2.85,4.6,2.67,6.04,-1.01
Other Financing Activities,-118.34,-2.24,-175.44,-21.8,59.02,107.78,7.66,73.4,36.24,-19.68,79.07,13.93,41.77,25.93,-3.68,-15.33,34.03,1.76,11.9,-18.12,35.69,-23.14,-32.24,38,29.47,24.76,-8.37,-7.67,14.82,13.85,-3.85,4.93,24.19,-2.6,-24.99,29.66,12.9,-6.37,-9.13,-12.37
Financing Cash Flow,-119.94,-3.82,-177.03,-23.4,57.42,63.63,6.06,71.78,25.43,19.51,78.26,13.12,40.96,25.12,-4.45,-16,16.08,-30.15,28.4,-21.04,32.4,-5.98,-25.34,31.22,35.32,22.41,-11.39,-13.79,17.81,16.93,-13.29,6.25,27.68,0.61,-27.77,26.68,17.37,-3.84,-3.22,-13.37
Net Cash Flow,-104.95,-70.58,-264.94,-28.23,83.31,111.55,219.48,59.8,23.02,-23.22,3.31,12.49,-8.77,3.06,10.19,-4.27,10.11,-17.81,19.67,-11.38,7.98,0.7,-46.07,17.16,-3.53,16.91,-8.53,-9.88,26.06,0.94,-5.66,-31.92,5.69,-3.6,-24.83,36.78,7.19,-9.61,0.17,-29.45
