Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.13,0.04,-0.04,-0.12,-0.15,-0
Other Operating Activities,-0.24,-0.09,-0.11,-0.01,-0,0
Operating Cash Flow,-0.12,-0.05,-0.15,-0.13,-0.15,0
Change in Investments,50.35,0.01,0,0,-69,0
Investing Cash Flow,50.35,0.01,0,0,-69,0
Share Issuance / Repurchase,-50.13,0,0,0,69.85,0
Debt Issued / Paid,0,0,0,0,-0.08,0
Other Financing Activities,-,-,-,-,-0.17,-
Financing Cash Flow,-50.13,0,0,0,69.6,0
Net Cash Flow,0.1,-0.04,-0.15,-0.13,0.45,0
Free Cash Flow,-0.12,-0.05,-0.15,-0.13,-0.15,0
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.01,-0.06,-
