Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,1.46,0.65,-0.2,-1.03,-0
Share-Based Compensation,0,0,0.36,0,0
Other Operating Activities,-1.59,-0.75,-0.2,0.1,0
Operating Cash Flow,-0.13,-0.09,-0.04,-0.93,0
Change in Investments,0.33,0,0,-306,0
Investing Cash Flow,0.33,0,0,-306,0
Share Issuance / Repurchase,0,0,0,294.24,0
Debt Issued / Paid,0,0,0,-0.1,0.07
Other Financing Activities,-,-0.01,-,13.12,-0.07
Financing Cash Flow,0,-0.01,0,307.26,0
Net Cash Flow,0.2,-0.11,-0.04,0.33,0
Free Cash Flow,-0.13,-0.09,-0.04,-0.93,0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.03,-
