Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Net Income,7.78,2.6,-2.38,-0.89,16.21,12.84,16.68,32.58,21.54,34.46,38.34,56.42,-74.55,9.18,2.73,8.51,8.86,-1.81,4.8,2.27,2.84,0.2,2.35,2.97,3.54,4.35,3.2,3.02,1.19,-1.59,-0.48
Other Operating Activities,8.23,39.24,-15.68,-6.11,-5.04,-126.62,-58.44,-33.3,-22.93,-69.01,-52.83,-17.86,23.22,-33.5,-104.96,-68.09,-25.72,-63.82,-34.73,-66.06,-8.05,-19,-10.77,-21.64,-46.03,-10.07,-37.03,-16.93,-26.17,-13.65,-114.58
Operating Cash Flow,16.01,41.85,-18.06,-7,11.17,-113.78,-41.76,-0.71,-1.4,-34.55,-14.49,38.56,-51.32,-24.32,-102.24,-59.57,-16.86,-65.63,-29.93,-63.79,-5.21,-18.8,-8.42,-18.67,-42.5,-5.71,-33.82,-13.91,-24.98,-15.24,-115.06
Operating Cash Flow Growth,43.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-12.66,-12.66,-14.21,-14.21,-14.21,-13.08,-11.55,-11.55,-11.55,-11.55,-11.55,-11.57,-7.97,-7.55,-6.27,-5.68,-5.05,-4.25,-3.7,-2.92,-2.62,-2.4,-2.14,-1.97,-1.74,-2.18,-1.16,-1.12,-0.92,-0.15,0
Share Issuance / Repurchase,0,0,0,0,0,52.63,0,0,0,0,0,-0.33,42.42,25,65,30,26,35,25,20,15,10,10,10,15,7,12,14,12,16.27,64.23
Debt Issued / Paid,17.7,-34.26,35.57,21.92,-2.12,76.04,47.04,26.95,11.38,49.65,26.55,-26.58,16.64,4.95,52.62,32.35,-2.42,34.6,11.82,46.58,-7,12.7,1,10.42,31.73,0.15,23.46,3.34,12.3,2.79,51.58
Other Financing Activities,-3.63,-,-,-,-0.22,2.2,-,-1.46,-0.73,-0.3,-0.51,-,-1.69,-2.78,-0.06,-0.07,-0.06,-1.68,-0.06,-0.05,-0.03,-0.02,-0.02,-0.02,-0.03,-0.02,-0.03,-0.03,-0.03,-,-0.16
Financing Cash Flow,1.4,-46.93,21.36,7.71,-16.55,117.78,35.49,13.94,-0.89,37.8,14.49,-38.47,49.4,19.63,111.29,56.6,18.48,63.68,33.06,63.62,5.34,20.28,8.84,18.43,44.96,4.96,34.28,16.19,23.36,18.91,115.65
Net Cash Flow,17.41,-5.09,3.29,0.68,-5.34,4.03,-6.29,13.23,-2.3,3.28,0.01,0.03,-1.9,-4.66,9.04,-2.95,1.63,-1.96,3.12,-0.21,0.15,1.48,0.42,-0.23,2.47,-0.76,0.45,2.28,-1.62,3.67,0.59
Free Cash Flow,16.01,41.85,-18.06,-7,11.17,-113.78,-41.76,-0.71,-1.4,-34.55,-14.49,38.56,-51.32,-24.32,-102.24,-59.57,-16.86,-65.63,-29.93,-63.79,-5.21,-18.8,-8.42,-18.67,-42.5,-5.71,-33.82,-13.91,-24.98,-15.24,-115.06
Free Cash Flow Growth,43.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,40.75%,121.03%,-62.31%,-26.14%,42.33%,-471.35%,-163.90%,-3.00%,-6.80%,-170.34%,-77.60%,199.52%,-272.55%,-165.81%,-689.10%,-475.91%,-147.15%,-624.45%,-343.09%,-879.70%,-76.52%,-296.11%,-136.17%,-352.71%,-951.83%,-113.82%,-978.70%,-479.05%,-995.09%,-709.72%,-9959.18%
Free Cash Flow Per Share,0.49,1.35,-0.58,-0.23,0.36,-3.87,-1.48,-0.03,-0.05,-1.23,-0.51,1.37,-1.96,-1.20,-5.43,-3.79,-1.17,-5.15,-2.63,-6.44,-0.59,-2.29,-1.07,-2.51,-6.30,-0.94,-6.14,-2.85,-5.84,-9.31,-50.84
