Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.33,1.2,-2.35,-0.14,-0.44,-0.01
Other Operating Activities,-0.93,-1.68,1.79,-0.1,-0.65,0.01
Operating Cash Flow,-0.6,-0.48,-0.56,-0.24,-1.09,-0
Change in Investments,0.2,0,0,0,-320.99,0
Investing Cash Flow,0.2,0,0,0,-320.99,0
Share Issuance / Repurchase,0,0,0,0,328.47,0.03
Debt Issued / Paid,0,0,0,0,-0.08,0.08
Other Financing Activities,-,-,-,-,-4.6,-0.06
Financing Cash Flow,0,0,0,0,323.8,0.04
Net Cash Flow,-0.4,-0.48,-0.56,-0.24,1.71,0.04
Free Cash Flow,-0.6,-0.48,-0.56,-0.24,-1.09,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.06,-
