Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,3.33,4.22,4.11,3.18,2.11,1.47,2.7,2.16,1.09,1.11,1.12,1.04,2.41,0.95,1.79,1.75,1.4,1.53,1.89,0.76,-
Depreciation & Amortization,0.48,0.5,0.56,0.59,0.61,0.61,0.61,0.61,0.84,0.69,0.57,0.63,0.34,-0.19,0.7,0.25,0.41,0.45,0.42,-,-
Share-Based Compensation,0.02,0.02,0.02,0.02,0.02,1.01,0.04,0.03,0,-0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-
Other Operating Activities,2.63,-,4.71,-2.64,2.75,0.49,0.44,1.41,5.03,-0.16,2.33,-5.3,-2.42,-2.7,1.16,0.57,0.93,0.73,0.67,-0.76,-
Operating Cash Flow,6.46,4.74,9.4,1.15,5.49,3.57,3.78,4.21,6.97,1.63,4.02,-3.62,0.33,-1.94,3.65,2.58,2.74,2.72,2.98,-,-
Operating Cash Flow Growth,17.70%,32.93%,148.91%,-72.71%,-21.23%,118.44%,-6.09%,-,2017.02%,-,10.07%,-,-88.00%,-,22.46%,-,-,-,-,-,-
Capital Expenditures,-0.19,-0.06,-0.07,-0.15,-0.27,-0.28,-0.27,-0.69,-0.99,-0.15,-1.7,-1.24,-0.11,-0.28,-0.48,-0.26,-0.21,0.79,-0.24,-,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,4.47,0,-,-
Change in Investments,-14.93,-30.13,-36.82,-33.99,-46.96,-19.15,-10.37,-13.09,-38.68,23.19,-1.62,-64.91,-16.88,12.12,6.26,3.89,-16.82,-12.38,-20.04,-,-
Other Investing Activities,-,-,-,-,0.84,0.48,0.97,-3,0.29,-,-6.61,-,-,1.12,-0,0.19,-,0.2,0.05,-,-
Investing Cash Flow,-15.12,-30.19,-36.89,-34.14,-46.38,-18.95,-9.67,-16.78,-39.38,23.05,-9.93,-66.15,-16.98,19.7,5.78,3.82,-17.03,-6.92,-20.23,-,-
Dividends Paid,-0.72,-0.72,-0.45,-0.45,-0.45,-0.45,-0.44,-0.45,-0.44,-0.45,-0.45,-0.45,-0.45,-0.45,-0.25,-0.25,-0.25,-0.25,-0.28,-,-
Share Issuance / Repurchase,0.07,0.07,0,0,0.12,0.33,0,-0,-0.21,-0.36,0,0.01,0.09,0.05,0,0,0,0.02,0,-,-
Debt Issued / Paid,-13.04,35.75,-0.38,0.05,-0.2,-0.08,-2.63,-6.07,-41.62,-64.49,2.88,63.72,-7.32,0.08,-0.17,-0.16,-1.17,6.84,-0.17,-,-
Other Financing Activities,-27.1,-116.36,-39.8,3.89,48.52,7.48,27.8,35.51,103.77,33.93,44.43,170.13,13.92,3.2,20.87,8.85,15.75,-7.12,3.35,-,-
Financing Cash Flow,-40.78,-81.25,-40.63,3.5,47.98,7.28,24.72,28.99,61.5,-31.36,46.87,233.42,6.23,2.88,20.46,8.44,14.34,-0.51,2.9,-,-
Net Cash Flow,-49.45,-106.7,-68.12,-29.5,7.09,-8.11,18.83,16.42,29.09,-6.68,40.96,163.64,-10.42,20.65,29.89,14.84,0.05,-4.71,-14.35,-,-
Free Cash Flow,6.27,4.68,9.33,1,5.22,3.29,3.51,3.52,5.98,1.49,2.33,-4.86,0.22,-2.22,3.17,2.32,2.53,3.51,2.75,-,-
Free Cash Flow Growth,20.13%,42.31%,166.11%,-71.66%,-12.68%,121.41%,50.75%,-,2569.20%,-,-26.70%,-,-91.15%,-,15.51%,-,-,-,-,-,-
Free Cash Flow Margin,38.90%,27.53%,59.42%,7.12%,39.76%,23.61%,25.02%,26.94%,52.21%,12.33%,21.30%,-46.26%,1.87%,-22.36%,39.04%,29.57%,32.98%,41.74%,35.79%,-,-
Free Cash Flow Per Share,0.35,0.26,0.52,0.06,0.29,0.18,0.20,0.20,0.34,0.08,0.13,-0.27,0.01,-0.22,0.32,0.23,0.25,0.35,-,-,-
