Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,0.99,1.9,1.93,1.64,1.4,2.03,1.04,1.44,3.01,1.05,0.96,1.4,-1.34,0.79,0.67,0.61,0.36,0.85,0.94
Depreciation & Amortization,0.1,0.06,0.08,0.04,0.08,0.04,-0.26,-0.2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
Share-Based Compensation,0.31,0.31,0.3,0.3,0.3,0.3,0.14,0.06,0.06,0.06,0.05,0.11,0,0,0,0,0,0,0
Other Operating Activities,-0.18,-0.49,0.51,-3.93,6.43,-20.3,4.42,8.34,5.76,-0.1,-0.3,0.02,3.63,-0.58,-0.11,0.07,0.47,-0.09,0.19
Operating Cash Flow,1.22,1.78,2.82,-1.95,8.21,-17.92,5.34,9.64,8.9,1.07,0.77,1.6,2.36,0.27,0.63,0.76,0.91,0.84,1.21
Operating Cash Flow Growth,-85.18%,-,-47.21%,-,-7.74%,-,593.43%,501.74%,277.23%,292.82%,22.72%,110.43%,158.81%,-67.53%,-48.02%,-,-,-,-
Capital Expenditures,-0.09,-0.06,-0.07,-0.06,-0.05,-0.16,-0.35,-0.83,-0.12,-1.43,-0.27,-0.01,-0.04,-0.11,-0.01,-0.03,-0.01,0.05,-0.04
Acquisitions,0,0,0,0,0,0,0,0,19.39,0,0,0,0,0,0,0,0,0,0
Change in Investments,8.57,-0.84,-65.61,-81.2,-57.82,6.53,-4.35,-0.26,23.29,22.79,5.04,-44.4,-2.93,7.25,6.16,-8.57,9.86,2.25,5.14
Other Investing Activities,-,-,-,-5,-,-,-,-8,-,-,-,0.86,-1.87,-12.89,-,-,-,-25.65,-
Investing Cash Flow,8.48,-0.9,-65.68,-86.27,-57.87,6.38,-4.71,-9.09,42.57,21.36,4.77,-43.54,-4.83,-5.75,6.15,-8.6,9.85,-23.35,5.1
Share Issuance / Repurchase,-1.4,-4.11,-1.65,-2.41,-1.89,-0.27,-0.21,0,0,0,0,0,-33.82,90.35,0,0,0,0,0
Debt Issued / Paid,10.05,-26.52,13.34,37.79,-6.95,-5.76,-6.84,-10.77,-6.37,-4.56,-4.38,13.23,2.28,-13.17,30.6,14.82,-10.94,11.84,4.7
Other Financing Activities,-10.69,33.27,56.89,-8.61,22.49,6.31,22.07,-15.09,0.5,-8.89,18.45,14.81,-28.14,23.39,-29.75,-7.31,1.13,8.7,-17.97
Financing Cash Flow,-2.04,2.64,68.58,26.77,13.65,0.29,15.02,-25.86,-5.87,-13.45,14.06,28.04,-59.68,100.57,0.85,7.51,-9.81,20.54,-13.27
Net Cash Flow,7.66,3.52,5.72,-61.45,-36.01,-11.26,15.66,-25.31,45.59,8.97,19.6,-13.9,-62.15,95.1,7.63,-0.34,0.96,-1.96,-6.96
Free Cash Flow,1.12,1.72,2.75,-2.02,8.16,-18.08,4.99,8.82,8.78,-0.36,0.5,1.59,2.32,0.16,0.62,0.73,0.9,0.89,1.17
Free Cash Flow Growth,-86.23%,-,-44.89%,-,-7.05%,-,900.02%,453.03%,278.10%,-,-19.20%,118.84%,156.59%,-81.66%,-47.23%,-,-,-,-
Free Cash Flow Margin,23.36%,28.01%,43.62%,-34.41%,149.23%,-295.65%,91.98%,164.42%,126.18%,-9.37%,13.57%,41.64%,73.00%,5.54%,21.42%,24.94%,30.62%,28.16%,34.44%
Free Cash Flow Per Share,0.09,0.13,0.20,-0.15,0.59,-1.31,0.36,0.63,0.67,-0.03,0.04,0.13,0.22,0.01,0.05,0.06,-,-,-
