Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,-3.09,-0.18,-0.46,-0.03,-0.02
Other Operating Activities,2.98,-0.04,0.2,-0,0.01
Operating Cash Flow,-0.11,-0.22,-0.27,-0.03,-0.01
Share Issuance / Repurchase,0,0,92,0,0.03
Debt Issued / Paid,0.11,0.05,-0.32,0.24,0.08
Other Financing Activities,-0.02,-0.02,1.72,-0.21,-0.09
Financing Cash Flow,0.09,0.03,93.39,0.03,0.02
Net Cash Flow,-0.02,-0.19,0.21,0,0.01
Free Cash Flow,-0.11,-0.22,-0.27,-0.03,-0.01
Free Cash Flow Per Share,-0.01,-0.02,-0.04,-0.01,-0.01
