Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.6,0.17,3.93,3.19,9.5,0,0
Other Operating Activities,-2.69,-0.32,-4,-3.42,-11.03,-,-
Operating Cash Flow,-0.09,-0.15,-0.07,-0.23,-1.53,0,0
Share Issuance / Repurchase,0,0,0,0,227.55,0,0
Debt Issued / Paid,0,0,0,0,-0.28,0,0.28
Other Financing Activities,-,-,-,-,6.66,-0.03,-0.11
Financing Cash Flow,0,0,0,0,233.93,-0.03,0.17
Net Cash Flow,-0.09,-0.15,0.98,-0.23,0.1,-0.03,0.17
Free Cash Flow,-0.09,-0.15,-0.07,-0.23,-1.53,0,0
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.01,-0.14,-,-
