Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Net Income,87.86,88.95,69.08,68.34,82.97,48.89,54.76,55.32,67.86,55.06,36.81,30.5,43.93,41.33,29.61,12.83,42.35,29.31
Depreciation & Amortization,45.4,44.88,44.78,44.77,44.45,43.65,44.82,41.87,40.97,39.84,38.86,37.92,37.18,36.4,35.13,34.29,33.5,33.02
Share-Based Compensation,11.61,17.21,14.76,20.96,13.71,15,13.79,12.41,8.85,11.6,9.64,10.95,7.96,9.07,9.12,27.72,-12.49,9.35
Other Operating Activities,-74.03,56.96,72.89,44,-95.88,84.11,68.99,38.84,-62.1,33.21,53.67,106.94,-110.82,33.74,39.63,23.22,-84.45,40.88
Operating Cash Flow,70.84,208,201.51,178.07,45.24,191.65,182.36,148.43,55.57,139.7,138.98,186.31,-21.76,120.54,113.49,98.05,-21.08,112.56
Operating Cash Flow Growth,56.58%,8.53%,10.50%,19.97%,-18.59%,37.19%,31.22%,-20.33%,-,15.90%,22.46%,90.01%,-,7.09%,-,-,-,-
Capital Expenditures,-16.71,-14.67,-12.34,-15.05,-18.04,-15.82,-10.02,-12.89,-12.63,-13.19,-10.17,-10.82,-8.36,-14.7,-12.06,-9.42,-8.28,-16.25
Acquisitions,0,0,0,0,0,1.1,0,-208.86,0,0,0,0,0,0,0,0,0,0
Change in Investments,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0
Investing Cash Flow,-16.71,-14.67,-12.34,-15.05,-18.04,-14.73,-10.02,-221.74,-12.63,-33.19,-10.17,-10.82,-8.36,-14.7,-12.06,-9.42,-8.28,-16.25
Dividends Paid,-18.73,-16.64,-16.65,-16.36,-16.35,-16.21,-16.18,-16.14,-16.03,-15.18,-15.03,-14.48,-13.4,-13.07,-11.43,-11.44,0,0
Share Issuance / Repurchase,-16.42,-33.49,-6.94,-2.08,-46.63,9.13,-8.11,-29.98,46.4,31.19,6.15,652.14,35.11,807.32,0,"1,148.96",0,0
Other Financing Activities,-45.3,-4.72,-5.13,-6.62,-105.1,-18.57,-5.63,-9.94,-54.82,-12.64,-5.02,-677.54,-23.99,-833.54,-11.77,"-1,273.18",-20,-36
Financing Cash Flow,-80.46,-54.85,-28.72,-25.05,-168.08,-25.66,-29.93,-56.06,-24.45,3.37,-13.89,-39.89,-2.28,-39.29,-23.21,-135.65,-20,-36
Net Cash Flow,-24.55,147,150.51,131.66,-143.99,150.14,140.68,-128.71,18.66,113.93,117.46,135.53,-36.35,70.58,76.35,-48.03,-48.5,59.92
Free Cash Flow,54.13,193.33,189.17,163.03,27.2,175.83,172.35,135.55,42.95,126.51,128.81,175.49,-30.12,105.84,101.43,88.63,-29.36,96.31
Free Cash Flow Growth,98.97%,9.95%,9.76%,20.27%,-36.66%,38.98%,33.80%,-22.76%,-,19.53%,26.99%,98.01%,-,9.90%,-,-,-,-
Free Cash Flow Margin,16.44%,65.97%,65.88%,54.87%,8.73%,63.50%,64.96%,51.97%,15.71%,54.28%,60.51%,82.74%,-12.84%,53.64%,50.47%,46.53%,-15.72%,53.91%
Free Cash Flow Per Share,0.26,0.93,0.92,0.80,0.13,0.87,0.85,0.67,0.22,0.67,0.69,0.99,-0.18,0.71,0.71,0.62,-0.13,0.43
