Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,1.02,0.33,-0.1,-0.23,-0.24
Other Operating Activities,-1.58,-0.42,-0.12,-0.57,0.22
Operating Cash Flow,-0.56,-0.09,-0.22,-0.79,-0.01
Change in Investments,-1.61,0,0,0,-209.07
Investing Cash Flow,-1.61,0,0,0,-209.07
Share Issuance / Repurchase,0,0,0,0,210.82
Debt Issued / Paid,2.07,0,0,0,-0.14
Other Financing Activities,-,-,-,-0.01,-0.24
Financing Cash Flow,2.07,0,0,-0.01,210.44
Net Cash Flow,-0.1,-0.09,-0.16,-0.8,1.36
Free Cash Flow,-0.56,-0.09,-0.22,-0.79,-0.01
Free Cash Flow Per Share,-0.02,-0.00,-0.01,-0.03,-0.00
