Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-0.99,-0.27,0.64,4.29,-0.64,3.45,-0.66,-0
Share-Based Compensation,-0.27,0.09,0.09,0.09,0.09,0.09,0.03,0
Other Operating Activities,0.54,0.15,-1.16,-4.58,0.41,-3.97,0.22,0
Operating Cash Flow,-0.72,-0.03,-0.43,-0.2,-0.14,-0.44,-0.41,0
Debt Issued / Paid,0.75,0,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-0.02,-,-
Financing Cash Flow,0.75,0,0,0,0,-0.02,0,0
Net Cash Flow,0.03,-0.03,-0.03,-0.2,-0.14,-0.46,0.91,0
Free Cash Flow,-0.72,-0.03,-0.43,-0.2,-0.14,-0.44,-0.41,0
Free Cash Flow Per Share,-0.03,-0.00,-0.01,-0.01,-0.01,-0.02,-0.03,-
