Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,0.89,0.58,1.17,0.78,0.97,0.06,0,-0.01,0
Other Operating Activities,-1.22,-0.8,-1.4,-1.19,-1.08,-0.8,-,0.01,-
Operating Cash Flow,-0.33,-0.21,-0.22,-0.41,-0.12,-0.74,0,-0,0
Change in Investments,0,0,0,0,0.03,0,0,0,0
Investing Cash Flow,0,0,0,0,0.03,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,160.42,0,0,0
Debt Issued / Paid,0,0,0,0,0,-0.13,0,-0,0.01
Other Financing Activities,-,-,-,-,-,-0.49,-,-0,-0.02
Financing Cash Flow,0,0,0,0,0,159.8,0,-0,-0
Net Cash Flow,-0.33,-0.07,-0.22,-0.41,-0.09,1.44,0,-0,-0
Free Cash Flow,-0.33,-0.21,-0.22,-0.41,-0.12,-0.74,0,-0,0
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.01,-0.06,-,-,-
