Metrics,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2002-06-30,2001-12-31,2001-06-30,2000-12-31,2000-06-30
Net Income,-78.59,75.15,0,-59.28,0,95.73,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Depreciation & Amortization,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,86,-58.43,5.77,80.01,3.86,-87.46,9.7,6.4,16.5,34.7,1.7,20.3,9.3,28.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Operating Cash Flow,7.41,16.73,5.77,20.73,3.87,8.28,9.7,6.4,16.5,34.7,1.7,20.3,9.3,28.6,20.2,31.7,8.2,22.7,7.1,9.7,1.4,7,-3,39,4.5,22.8,4.1,32.5,17.4,-19.4,43,16.9,52.6,70.5,65.9,-75.3,-84.6,-39.4,-2,-48.8,89.1
Operating Cash Flow Growth,91.71%,102.14%,-40.53%,223.96%,-76.57%,-76.15%,470.59%,-68.47%,77.42%,21.33%,-91.58%,-35.96%,13.41%,25.99%,184.51%,226.80%,485.71%,224.29%,-,-75.13%,-68.89%,-69.30%,-,20.00%,-74.14%,-,-90.47%,92.31%,-66.92%,-,-34.75%,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-22.9,-2.9,-24.4,-2.3,-21.4,-1.9,-26.2,-6.3,-64.9,-8.4
Dividends Paid,-5.16,-16.54,-5.1,-16.76,-6.29,-11.1,-5,-11.1,-4.9,-24.2,-4.9,-20.9,-4.8,-47.1,-9.3,-6.1,-4.6,-13,-4.6,-13.6,0,-6.7,-5.4,-23.8,-4.3,-22.8,-4.1,-18.2,-4.1,-19.1,0,0,0,0,0,0,0,0,0,0,0
Share Repurchases,-2.58,0,-0.43,-3.98,0,-0.02,-1.7,-0.2,-4.9,-10.1,-11,-0.9,-2,-11.8,-1.1,-0.4,-2,-0.5,0,-0.9,-1.5,-0.2,-0.6,-6.1,-0.2,0,0,-14.2,-13.6,-3,-1.3,-2,-1.9,-1.8,-3.6,-4,-2.8,0,-1,-0.3,-0.2
Other Financing Activities,-5.16,0,-0.86,-7.97,-,-0.03,-3.4,-0.4,-9.8,-20.2,-22,-1.7,-4.1,-23.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Financing Cash Flow,-7.74,-16.54,-5.52,-20.74,-6.29,-11.12,-6.7,-11.3,-9.8,-34.3,-15.9,-21.7,-6.9,-59,-10.4,-6.4,-6.6,-15.5,-7.6,-9.4,-1.5,-7,-5.9,-29.9,-4.5,-22.8,-4.1,-32.5,-17.6,-22.1,-1.3,8.7,-1.9,10.9,-3.6,8.1,-2.8,18.4,-1,38.8,-0.2
Net Cash Flow,-0.33,0.19,0.24,-0.01,-2.42,-2.84,3,-4.8,6.7,0.4,-14.2,-1.5,2.5,-30.4,9.8,25.3,1.6,7.1,-0.4,0.3,-0.1,0.1,-8.9,9.1,0,-0.1,0,0.1,-0.3,-37.5,37.7,2.7,47.8,57,60,-88.6,-89.3,-47.2,-9.3,-74.9,80.5
Free Cash Flow,7.41,16.73,5.77,20.73,3.87,8.28,9.7,6.4,16.5,34.7,1.7,20.3,9.3,28.6,20.2,31.7,8.2,22.7,7.1,9.7,1.4,7,-3,39,4.5,22.8,4.1,32.5,17.4,-19.4,43,16.9,52.6,70.5,65.9,-75.3,-84.6,-39.4,-2,-48.8,89.1
Free Cash Flow Growth,91.71%,102.14%,-40.53%,223.96%,-76.57%,-76.15%,470.59%,-68.47%,77.42%,21.33%,-91.58%,-35.96%,13.41%,25.99%,184.51%,226.80%,485.71%,224.29%,-,-75.13%,-68.89%,-69.30%,-,20.00%,-74.14%,-,-90.47%,92.31%,-66.92%,-,-34.75%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,55.08%,200.94%,-,221.59%,-,136.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,0.29,0.64,0.22,0.80,0.15,0.32,0.38,-,0.65,-,0.07,-,0.37,-,0.79,-,0.32,-,0.28,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
