Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,-0.5,-18.43,1.18,-2.2,5.26,8.06,9.56,3.45,2.33,-11.69,-0.11,2.87,-4.03,-13.75,13.88,13.43,15.68,16,15.74,15.98,15.75,6.53,12.09,8.94,10.42,-
Depreciation & Amortization,0.35,0.38,0.38,0.4,0.39,0.36,0.58,0.41,0.41,0.41,0.4,0.4,0.4,0.07,0.53,0.52,0.5,0.55,0.43,0.43,0.43,0.42,0.47,0.37,0.38,-
Share-Based Compensation,0.17,0.26,0.26,0.24,0.15,0.13,0.2,0.19,0.11,0.16,0.06,0.01,0.11,0.07,0.15,0.15,0.13,0.11,0.1,0.08,0.01,0,0,0,0,-
Other Operating Activities,-3.5,12.6,0.08,6.01,-4.6,-13.79,6.13,12.57,0.07,4.47,1.3,12.84,1.07,0.62,20.06,4.45,4.3,-15.98,10.06,0.33,0.54,-13.48,10,-0.76,9.04,-
Operating Cash Flow,-3.47,-5.19,1.88,4.45,1.2,-5.25,16.46,16.62,2.91,-6.66,1.65,16.11,-2.46,-12.99,34.62,18.55,20.61,0.68,26.34,16.83,16.73,-6.53,22.56,8.55,19.84,-
Operating Cash Flow Growth,-,-,-88.55%,-73.23%,-58.85%,-,900.67%,3.13%,-,-,-95.25%,-13.15%,-,-,31.43%,10.28%,23.19%,-,16.76%,96.83%,-15.64%,-,-,-,-,-
Capital Expenditures,-0.19,-0.1,-0.11,-0.1,-0.11,1.15,-0.55,-0.79,-0.98,-0.43,-0.04,-0.17,-0.28,-0.22,-0.13,-0.4,-0.58,-0.89,-0.95,-1.03,-0.98,-0.67,-0.23,-0.84,-0.66,-
Acquisitions,0,0,0,0,0,0,-63.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,75.37,29.67,114.07,69.88,135.63,49.8,108.82,169.97,88.59,89.39,99.03,-29.34,65.63,15.82,21.83,-2.28,-26.39,5.77,-69.27,-72.49,-68.82,-320.84,-203.3,-218.12,-30.07,-
Other Investing Activities,-,-,4.64,20.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,75.18,29.58,118.6,90.01,135.52,50.95,44.73,169.18,87.61,88.96,98.99,-29.51,65.35,15.6,21.7,-2.68,-26.97,4.88,-70.21,-73.52,-69.8,-321.5,-203.53,-218.96,-30.73,-
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.52,-0.53,-0.53,-0.53,-0.53,-0.53,-3.08,-2.12,-2.66,-1.77,-
Share Issuance / Repurchase,-0.08,-0.01,-0.01,-0.11,-0.08,0,0,1.35,-0.05,0,0,0,-0.08,-4.63,-4.17,-10.01,-11.54,0,0,0,0,85.49,0,0,0,-
Debt Issued / Paid,0,0,0,-100,0,-157,-11,0,0,0,-11,0,100,0,-11,-93.05,40.05,-42,-15,7.06,4.94,103.72,-109.61,137.2,-86.08,-
Other Financing Activities,-32.22,3.02,-53.23,-195.93,-61.56,-86.44,-215.26,-285.89,-215.75,-1.8,204.98,246.79,149.85,-65.91,25.19,110.09,-16.12,40.61,71.47,49.44,46.06,145.86,302.93,71.26,107.22,-
Financing Cash Flow,-32.29,3.01,-53.24,-296.04,-61.65,-243.44,-226.26,-284.54,-215.8,-1.8,193.98,246.79,249.27,-71.04,9.51,6.52,11.86,-1.92,55.94,55.98,50.46,331.99,191.19,205.79,19.37,-
Net Cash Flow,39.42,27.39,67.24,-201.58,75.07,-197.74,-165.07,-98.75,-125.27,80.5,294.62,233.39,312.17,-68.43,65.83,22.39,5.5,3.65,12.06,-0.72,-2.61,3.96,10.22,-4.62,8.47,-
Free Cash Flow,-3.66,-5.29,1.77,4.35,1.08,-4.1,15.91,15.83,1.93,-7.08,1.6,15.94,-2.74,-13.21,34.49,18.15,20.03,-0.21,25.39,15.8,15.75,-7.2,22.33,7.7,19.18,-
Free Cash Flow Growth,-,-,-88.86%,-72.52%,-43.83%,-,892.64%,-0.72%,-,-,-95.35%,-12.18%,-,-,35.84%,14.93%,27.16%,-,13.71%,105.04%,-17.85%,-,-,-,-,-
Free Cash Flow Margin,-21.20%,-27.91%,7.53%,21.09%,4.02%,-13.04%,65.49%,62.97%,7.90%,-,6.49%,66.22%,-32.92%,-41.43%,104.76%,55.68%,57.00%,-0.59%,73.36%,45.09%,46.90%,-24.69%,72.62%,31.49%,71.40%,-
Free Cash Flow Per Share,-0.07,-0.10,0.04,0.09,0.02,-0.08,0.32,0.32,0.04,-0.14,0.03,0.32,-0.06,-0.26,0.68,0.35,0.38,-0.00,0.48,0.30,0.30,-0.15,0.49,0.17,0.42,-
