Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,0.72,2.67,2.81,3.15,6.89,1.66,-0,-0.02
Other Operating Activities,-1.04,-2.74,-2.87,-3.25,-6.99,-2.27,0,0.02
Operating Cash Flow,-0.31,-0.07,-0.06,-0.1,-0.11,-0.61,0,0
Share Issuance / Repurchase,0,0,0,0,0,201.25,0,0
Debt Issued / Paid,0,-0,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,5.6,-,-
Financing Cash Flow,0,-0,0,0,0,206.85,0,0
Net Cash Flow,-0.31,-0.07,-0.07,-0.1,-0.11,0.96,0,0
Free Cash Flow,-0.31,-0.07,-0.06,-0.1,-0.11,-0.61,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.07,-,-
