Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Net Income,-6.94,-29.22,-11.04,41.82,48.35,62.07,41.65,37.85,25.58,-0.79,0,0,0,0,28.52
Depreciation & Amortization,12.06,11.72,11.52,11.69,11.66,2.45,1.18,1.34,1.39,1.39,1.37,1.6,1.91,1.91,1.66
Share-Based Compensation,8.11,3.78,3.71,3.63,3.41,3.21,3.74,3.26,3.21,0.95,0.48,0.48,0.48,0.48,0.48
Other Operating Activities,-7.25,101.95,53.29,-24.83,-16.94,-7.96,29.16,-13.44,7.26,52.39,27.06,-4,18.81,17.9,-4.29
Operating Cash Flow,5.99,88.23,57.48,32.3,46.48,59.77,75.73,29,37.44,53.94,28.92,-1.92,21.2,20.28,26.37
Operating Cash Flow Growth,-87.12%,47.62%,-24.10%,11.38%,24.16%,10.81%,161.85%,-,76.59%,165.93%,9.69%,-,-,-,-
Capital Expenditures,-1.05,-1.75,-0.35,-0.46,-0.32,-0.13,-1.19,-0.26,-0.26,-0.4,-0.34,-0.65,-0.04,-0.02,-0.13
Acquisitions,-1.57,-3.2,-3.1,-3.52,-8.07,-181.53,0,0,0,0,0,0,0,0,0
Change in Investments,-3.47,-4.77,-4.15,-4.8,-3.09,-2.68,-4.5,-2.37,-2.55,-3.74,-1.27,-1.58,40.89,-4.14,1.47
Other Investing Activities,-,-,-,0,-,-,0.03,0.01,-,-,-,-,-,-,-
Investing Cash Flow,-6.1,-9.71,-7.6,-8.77,-11.48,-184.34,-5.66,-2.62,-2.8,-4.14,-1.61,-2.23,40.85,-4.15,1.34
Dividends Paid,-12.85,-12.29,-12.22,-9.12,-9.11,-5.65,0,-2.05,0,0,0,0,0,7.76,-7.76
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,337.8,0,0,0,0,0
Debt Issued / Paid,20,0,0,0,-50,115,0,0,0,-146.63,-0.38,-0.38,-0.38,-0.38,-0.38
Other Financing Activities,-8.95,-29.84,-48.5,-34.25,-14.43,-31.73,-31.15,-30.75,-5.32,-171.73,-26.25,-21.45,-7.2,-19.63,-2.39
Financing Cash Flow,-1.8,-42.13,-60.72,-43.37,-73.54,77.62,-31.15,-32.8,-5.32,19.45,-26.63,-21.83,-7.58,-12.24,-10.52
Net Cash Flow,-3.45,37.15,-10.12,-19.47,-39.12,-46.56,38.73,-5.13,29.16,69.12,0.77,-26.18,54.48,3.85,17.16
Free Cash Flow,4.93,86.49,57.13,31.84,46.16,59.64,74.54,28.75,37.18,53.54,28.58,-2.57,21.16,20.27,26.23
Free Cash Flow Growth,-89.32%,45.00%,-23.35%,10.78%,24.14%,11.40%,160.82%,-,75.68%,164.15%,8.93%,-,-,-,-
Free Cash Flow Margin,-,-,-,8.73%,11.24%,21.17%,24.15%,8.01%,15.04%,22.04%,-,-1.79%,29.72%,15.37%,26.34%
Free Cash Flow Per Share,0.08,1.41,0.93,0.64,0.80,1.43,1.91,0.93,1.27,1.83,0.30,-0.03,-,-,-
