Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-2.66,-0.15,0.95,2.2,-0.46,1.29,4.31
Share-Based Compensation,2.83,0,0,0,0,0,0
Other Operating Activities,-0.31,-0.2,-1.1,-2.49,0.38,-1.56,-4.34
Operating Cash Flow,-0.14,-0.35,-0.15,-0.29,-0.08,-0.27,-0.03
Change in Investments,-0.21,-0.88,0,0,0,0,0
Investing Cash Flow,-0.21,-0.88,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,118.55
Debt Issued / Paid,0.16,1.45,1.15,0,0,0,0
Other Financing Activities,-0.01,0.01,-,-,-,-,-0.45
Financing Cash Flow,0.15,1.46,1.15,0,0,0,118.11
Net Cash Flow,-0.2,0.23,-0.15,-0.29,-0.08,-0.27,0.78
Free Cash Flow,-0.14,-0.35,-0.15,-0.29,-0.08,-0.27,-0.03
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.00
